@relation artificial_weekend.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
2,0,87,6.5,0
2,-0.5,87,8,0
1.5,0.5,87,5.5,0
1,1,87,4,0
1,1,87,4,0
0.5,-1.5,90,6,0
8,4.5,93,22.5,0
9,6,90.5,18,0
7,4,87,18.5,0
6.5,3.5,81,18,0
6,2.5,76,18.5,0
5.5,1.5,73.5,24,0
5,1,76,19,0
4,1,81,14,0
4.5,1,75.5,16,0
5,1.5,70,18,0
5.5,1.5,68,24,1
6,2,66,24,1
6,2,61,24,1
7,3.5,61,22,1
7,4,61,20,1
7,3,61,22,1
6.5,3.5,63.5,17,1
6,3,66,15,1
5.5,2.5,68,13,0
5,2,68,14,0
4.5,1.5,70,13,0
4,1,72.5,13,0
3.5,0.5,75,13,0
3,-0.5,81,13,0
3,0,81,13,0
2,-1.5,87,12,0
2,-1,81,10,0
2,-2,87,14,0
2,-2,84,13,0
2,-1.5,87,12,0
2,-2,87,13,0
2,-2,87,15,0
3,-0.5,81,15,0
3.5,0.5,78,13,0
5,2,70,15,1
6.5,4,68.5,13,1
8.5,5.5,62,19.5,1
8,5,66,18,1
9,6,66,22,1
8,5,71,21,1
8,5,71,18,1
8,5,71,19.5,1
8,5,73.5,19.5,0
8,5,76,19.5,0
8,5,76,18.5,0
8,5,82,18.5,0
8,5,82,18,0
8,5,82,18,0
2,-2,81,16,0
2,-2.5,81,17.5,0
2,-3,81,19.5,0
1,-3.5,87,17,0
2,-2.5,81,18,0
2,-2.5,87,18,0
2,-2,93,17,0
3,-1,87,16,0
3,-1,87,15,0
3,-1,87,16,0
3,-1,87,15,0
4,0,81,18.5,1
4,0,81,18.5,0
3,-1,87,18,0
3.5,-0.5,90,19.5,0
5,1,78.5,21.5,0
5,0,70,29,0
5,1,70,24,0
5,1,68,22,0
5,0.5,63.5,26,0
5,0.5,59,24,0
4.5,-0.5,61,27,0
4,-1,61,24,0
4,-1,61,26,0
4,-1,61,27,0
2.5,-3,78.5,28,0
2,-3,87,23,0
2,-3,87,22,0
2.5,-2.5,84,25,0
4,-1,67.5,28,0
4,-1.5,65,31.5,0
4,-1.5,67.5,32,0
4,-2,67.5,34,0
4.5,-0.5,65.5,31,0
4.5,-0.5,65.5,30,0
5,0,63.5,30.5,1
5,0,66,30,1
6,1.5,61,29,1
5.5,1.5,63.5,24,1
5,1,63.5,24,1
5,0,61,26,1
4.5,0.5,61,19.5,0
4,0,61,19.5,0
4,0,61,18.5,0
3.5,0,58,17,0
2.5,-1.5,62.5,16,0
2,-2,65,15,0
1,-3,65,14,0
1.5,-2.5,84,14,0
1,-3,87,14,0
1,-3,87,13,0
2,-1,81,10,0
1,-1,87,6.5,0
1,-2,87,10,0
2,-1,81,9,0
1.5,-0.5,87,7,0
3,2.5,84,5,0
4,2,81,9,0
4,1.5,87,10,0
5,2,87,12,1
5.5,2.5,81.5,13,1
6,3,76,14,1
6,3,76,15,1
5,2,81,16,1
5,2,81,16,1
5,2,81,15,1
6,3.5,76,13,0
6,3,81,14,0
5,3,81,8,0
5,3,87,9,0
4.5,2,84,10,0
4,1.5,87,9,0
4,2,87,8,0
5,2,81,11,0
5,2.5,78.5,10,0
4,1,81,11,0
5,2,76,14,0
4,1.5,81,9,0
4,2,81,7,0
4,1.5,81,9,0
4,2,81,7,0
4.5,2,78.5,9,0
5.5,2.5,78.5,13,1
7,4.5,71,13,1
7,5,71,13,1
7.5,5.5,68.5,11,1
8,6,66,11,1
8,6,62,11,1
7.5,6.5,66.5,6.5,1
6.5,5.5,71,5.5,1
6,5.5,76,5,0
5,2.5,78.5,11,0
5,2.5,78.5,10,0
5,2,78.5,14,0
4.5,1.5,78.5,13,0
4.5,1.5,78.5,14,0
8,5.5,87,15,0
7,5.5,87,8,0
7,5,90,11,0
7,4,87,17,0
6.5,4.5,84,10,0
6,4.5,87,7.5,0
6,5,87,6,0
6,5.5,96.5,5,0
7,5.5,93,10,0
7,5,93,10,0
7.5,5,90,15,1
8,5,87,19.5,1
8,5,87,18,1
8.5,6,84.5,14,1
8,5,87,15,1
8,5,87,15,1
8,5,87,15,1
8,5,87,16,1
8,5,84.5,15,0
7,5,90,13,0
7.5,5,90,14,0
7.5,5.5,90,11,0
7,6,93,7,0
7,5,93,10,0
7,5,93,10,0
6,4,93,8,0
6,4.5,93,6.5,0
6,4,93,9,0
6,4,93,10,0
6,4,93,7,0
6,4,93,8,0
6,4,93,11,0
6,4,93,10,0
7,5.5,87,9,0
7,5.5,84,7.5,1
8,8,82,4,1
8,7,82,6.5,1
8.5,7.5,73.5,7,1
9,8.5,71,5,1
9.5,9,69,6.5,1
9,8.5,71,5,1
8.5,8.5,73.5,4,1
7.5,7,78.5,5,1
6.5,6,84,5,0
5,4.5,93,5,0
4.5,2.5,93,8,0
4.5,2.5,93,8,0
3,0,96.5,11,0
4,1,87,11,0
4,1,87,14,0
4,1,87,15,0
4,1,87,14,0
4,1,84,15,0
4,1,87,14,0
4,0.5,87,17.5,0
2.5,0,93,9,0
4,1,87,15,0
4.5,0.5,84,19,0
5,1.5,81,18.5,1
5.5,1.5,73.5,21.5,1
6,2.5,66,19.5,1
6,2.5,68.5,19.5,1
6.5,3.5,61,17,1
7,3.5,59,22.5,1
6.5,2.5,59,22,1
6.5,4.5,63.5,10,1
5.5,2.5,65.5,18,1
5,2,70,17,0
5,1.5,70,17,0
4,1,75,15,0
4,1,75,13,0
4,1,75,15,0
2.5,-0.5,84,10,0
2,-1,87,11,0
1.5,-2.5,87,14,0
1,-3,87,14,0
1,-2,87,11,0
1,-2.5,87,12,0
1,-2,87,11,0
1.5,-1.5,84,9,0
3,1,78,8.5,0
4.5,1.5,72.5,13,0
5.5,1.5,70.5,19.5,1
7,3,66,22,1
8,4,62,25,1
8,4,62,28,1
7.5,3,71,32,0
6,1.5,84,28.5,0
5.5,0.5,84,29,0
5.5,0.5,87,29,0
6.5,1.5,87,33.5,0
7,2,87,33,0
8,4,87,30.5,0
9,5,87,29.5,0
10,7,88,27,0
10.5,9,79,30,0
6,3,78.5,14,0
7,4,76,17,0
7,4,78.5,16,0
7,4,76,19,0
7,4,76,16,0
8,4.5,71,22,0
7,3,84,26,0
7,3,87,24,0
7,4,93,20,0
8,5,87,21,0
9,6,82,22,0
9,6,87,24,1
9,6,87,22,1
9,6,87,24,1
10,7,88,27,1
10,7,85,26,1
10,7,85,29,1
10,7,82,25,1
10,7,82,25,1
10,7,82,27,0
10,7,88,23,0
10,7,88,28,0
10.5,8.5,88,32,0
11,11,88,25,0
11.5,11.5,85,28,0
11,11,77,29,0
10.5,8.5,67,37,0
9.5,6,69,29.5,0
9,5.5,68.5,26,0
8.5,5,68.5,25,0
8,4,71,26,0
8,5,71,20.5,0
9,5,66,29.5,0
9,5,66,29,0
10,6.5,60,32.5,1
10,6,54,36,1
11,11,48.5,43,1
11,11,52,33,1
12,12,45.5,33,1
11.5,11.5,48.5,28.5,1
10,6,60,32,1
8.5,4.5,77,32.5,0
9,5,71,31,0
7,3,76,29,0
7,3,76,30.5,0
7,3,76,26,0
6.5,2.5,73.5,24,0
6,2.5,73.5,19.5,0
9,7.5,64,10,0
9,6.5,66,16,0
9,6,66,17,0
9,6,68.5,19,0
9,6,71,18,0
9,6,71,21,0
8.5,5.5,73.5,18,0
9,6,71,21,0
10,7,67,22,0
11.5,11.5,60,19.5,1
13,13,53,25,1
13.5,13.5,53,25,1
15,15,48,23,1
16,16,45,23,1
16,16,46.5,23,1
15,15,49.5,22.5,1
14.5,14.5,53,25,1
12.5,12.5,61,20.5,1
11,11,67,16,1
9.5,7,76.5,17,1
9,7,76,14,0
9,8,76,8,0
9,8,79,7,0
9,7,82,11,0
9,7.5,82,10,0
8.5,7.5,81.5,6.5,0
8,5.5,87,13,0
7.5,6,90,10,0
8,6,87,10,0
7.5,5,87,12,0
8,4.5,84.5,23,0
8,5.5,82,14,0
9,7.5,79,9,0
10.5,9.5,74,15,0
12,12,69.5,19.5,1
13.5,13.5,67,21,1
13.5,13.5,69.5,21,1
13,13,72,21,1
13,13,72,24,1
12,12,77,20,1
12.5,12.5,74.5,21,1
12,12,77,17,1
11,11,82,11,1
10.5,9.5,76.5,16,0
9.5,8,79,11,0
9,8,79,6.5,0
8,7.5,82,5,0
7.5,7,81.5,5,0
4,1,72.5,12,0
3,-0.5,75,14,0
3,0,75,13,0
4,1,70,15,0
5,2,66,15,0
5,1.5,66,18,0
5,2,70,16,0
5,1,70,19,0
5.5,1.5,73.5,19.5,0
7,4,66,20,1
8,4.5,57,24,1
7,3.5,66,20.5,1
7,4,71,18.5,1
7,4,71,18,1
8.5,5.5,56,19,1
9,6,50,22,1
9,6,50,20,1
8,5,53,22,1
7,3.5,57,20.5,1
6.5,3.5,63.5,16,0
6,3,71,16,0
6,3,76,18,0
6,3,81,16,0
6,3,81,19,0
6,3,84,19,0
5,2,93,16,0
5.5,2.5,90,15,0
6,3,87,15,0
6,3,87,15,0
6,3,87,17,0
6,3,87,17,0
6,3,87,17,0
6,3,87,19,0
6.5,3.5,78.5,18,0
7,4,76,16,0
7,4,76,17,1
7,3.5,76,19.5,1
7,4,76,17,0
6.5,3.5,84,16,0
7,4,78.5,16,0
7,3.5,76,21.5,0
7,4,76,17.5,0
7,4,76,18,0
6,3,81,14,0
6,3,81,13,0
6,3,81,14,0
6,3.5,81,12,0
6,3.5,87,12,0
9.5,7,64,17,0
8.5,5.5,73.5,17,0
8,5,76,16,0
8,6.5,76,9,0
7.5,6,78.5,9,0
7,6,81,6,0
7,5,81,9,0
7.5,5.5,78.5,11,0
8,5,71,19,0
8,4.5,68.5,23,0
8,5,66,21,1
8,5,62,22,1
8,5,62,19,1
8,5,62,20.5,1
8,5,62,22,1
8,4,64,24,1
8,5,66,20.5,1
8,5,66,18,1
7.5,4.5,73.5,19.5,0
7,4,81,17,0
7,4,78.5,17,0
6.5,3.5,78.5,14,0
6,3.5,81,12,0
6,3,78.5,13,0
6,3.5,71,14,0
6,3.5,71,12,0
5.5,2.5,70.5,16,0
5,2,73,11,0
4.5,1.5,72.5,12,0
4,1,75,12,0
4,1.5,75,10,0
5,2,66,14,0
6,3,61,15,0
7,4,63.5,17,0
7,4,63.5,18,1
7,4,61,16,1
7.5,4.5,59,17,1
8,6,59.5,11,1
7,4.5,63.5,14,1
7,5,63.5,12,1
7,5.5,66,10,1
6.5,4.5,68.5,11,1
6,4,66,9,1
6,4,66,11,0
5,2.5,70,9,0
5,2.5,73,10,0
4.5,2,72.5,10,0
4,2.5,75,6.5,0
8,7.5,82,5,0
8.5,6.5,84.5,10,0
8,6,93,10,0
9,8,87,7,0
9,7.5,90.5,10,0
9.5,8,91,9,0
10,8.5,91,10,0
11,11,91,18,0
12,12,88,20.5,0
13,13,82,25,0
13,13,82,29,1
14,14,72,31.5,1
13.5,13.5,74.5,35,1
13,13,77,34,1
13,13,77,29.5,1
13,13,77,29,1
13.5,13.5,79.5,28,1
13,13,77,28,1
13,13,77,27,1
13,13,77,27,1
13,13,67,33,0
12,12,69.5,29.5,0
11.5,11.5,69.5,32.5,0
11,11,67,32,0
10,8,72.75,30.75,0
10.5,8.5,77,33,0
10,7,85,25,0
10,7.5,88,18.5,0
11,11,74.5,23,0
11,11,72,28,0
10,7.5,88,19.5,0
10,8,91,15,0
11.5,11.5,91,25,0
12,12,88,30.5,0
13,13,82,30.5,0
13,13,82,35,0
12.5,12.5,91,39,0
13.5,13.5,77,47,0
14,14,65,47,1
12.5,12.5,69.5,38.5,0
13,13,55,40.5,1
12,12,56,37,0
10.5,8.5,77,34,0
10,7,76,30,0
10,7,79,28,0
10,7,71,28,0
10,7,73.5,25,0
9,9,94,2,0
10,10,94,3,0
10,9,88,7,0
9,7.5,97,8.5,0
9,6.5,93.5,15,0
9,7.5,82,11,0
9,6.5,82,15,0
9,6,79,21,0
9,7,82,15,0
8.5,6,81.5,18.5,0
8.5,5.5,84.5,17,1
9,6,71,19,1
9,6,71,19,1
8.5,5.5,68.5,19.5,1
8.5,5.5,68.5,18.5,1
9,6.5,66,16,1
9,7,66,13,1
9,7,66,11,1
9,7.5,66,10,0
9,8,66,7,0
8,7,71,6,0
8,7.5,73.5,5,0
8,7.5,76,5,0
7.5,7.5,78.5,4,0
7,7,81,4,0
7,7,81,2,0
7,7,81,4,0
7,7,81,4,0
7,7,84,2,0
7,7,84,2,0
7,7,87,0,0
7.5,7,84.5,3,0
8.5,8,76,6.5,0
9,7,71,11,0
10.5,10,64.5,8,1
10,8,64.5,12,1
11,11,58,11,1
11.5,11.5,56,11,1
11.5,11.5,56,11,1
12,12,54,11,1
11,11,62,11,1
11,11,62,10,1
10,8,67,13,1
8.5,6.5,68.5,10,0
7.5,5.5,68.5,10,0
8,7,66,6,0
7,7,71,2,0
12,12,69.5,14,0
12,12,72,11,0
11.5,11.5,79.5,13,0
11,11,82,15,0
11,11,82,19,0
11,11,82,19.5,0
11,11,79.5,19.5,0
12,12,69.5,25,0
12,12,69.5,26,0
11.5,11.5,77,26,0
10,7,82,20,0
11,11,74.5,25,1
12,12,58,30,1
13,13,44,29,1
12.5,12.5,39.5,30,1
13.5,13.5,37,26,1
14,14,33,23,1
13.5,13.5,32,23,1
13,13,36,22,1
12,12,39.5,26,1
10.5,9,37.5,22,1
10,7,43.5,22,0
10,7.5,45,19.5,0
9,7,50,15,0
8.5,6.5,53.5,10,0
8,6,57,10,0
7.5,6,59,9,0
7,6,61,7,0
7,6,61,7,0
7,6,66,6.5,0
6.5,4,84,12,0
7.5,5.5,81.5,11,0
8.5,6,79,15,0
10.5,9.5,66.5,23.5,0
12.5,12.5,47.5,30.5,1
14,14,42.5,31.5,1
15,15,45,29,1
16,16,39,29.5,1
17.5,17.5,36.5,31,1
18,18,38.5,32,1
17.5,17.5,44,32.5,1
16.5,16.5,50.5,29.5,1
15.5,15.5,57,30,1
15,15,59,29,1
15,15,63,20,0
14,14,67,19.5,0
9.5,7,73.5,18,0
9,7,76,12,0
8,5,71,21,0
7,3.5,73.5,22,0
7,4,73.5,18,0
7,4,76,15,0
6.5,4,78.5,14,0
5.5,3,84,11,0
5.5,4,87,6.5,0
7,5,81,13,0
8.5,5,76,22,0
9.5,6,71,27,1
11,11,62,28,1
12,12,58,29,1
12.5,12.5,54.5,30.5,1
13,13,51,30.5,1
13,13,45.5,34,1
13,13,47.5,31.5,1
13,13,41,31,1
13,13,44,28,1
12,12,44,30.5,1
11.5,11.5,50.5,26,1
11,11,52,22,1
9.5,7,62,19.5,0
8.5,5.5,68.5,16,0
7,4.5,81,16,0
7,5,81,11,0
6,3.5,81,12,0
5.5,3.5,84,9,0
5,2,81,11,0
5,2,81,15,0
5,3,78.5,8,0
5.5,3,76,10,0
6,4,71,10,0
7.5,5.5,64,11,0
8,5,64,16,0
9,6.5,58,16,1
9,7,58,13,1
10,8,54,12,1
10,8,56,14,1
10,8,60,15,1
10,8,62,11,1
11,11,62,7.5,1
11,11,62,11,1
12,12,58,11,1
11,11,62,11,1
11,11,62,11,0
10,8.5,67,10,0
9,7,71.5,13,0
8.5,6.5,73.5,10,0
13,13,82,19,0
13,13,82,18.5,0
12.5,12.5,85,17,0
12,12,91,16,0
12,12,88,15,0
12,12,88,16,0
12,12,88,17,0
12,12,88,14,0
12,12,91,16,0
12.5,12.5,88,20.5,0
13,13,88,15,1
15,15,72.5,21,1
16,16,63,23,1
17,17,56,26,1
17.5,17.5,52,20.5,1
18.5,18.5,47.5,23,1
17.5,17.5,52,23,1
17.5,17.5,50.5,24,1
16.5,16.5,59.5,23,1
15,15,68,19,1
14,14,77,15,0
13.5,13.5,79.5,15,0
13,13,82,12,0
12.5,12.5,85,13,0
12,12,88,12,0
12,12,88,10,0
12,12,88,11,0
10,8.5,94,12,0
10,9,94,8,0
9.5,7.5,91,12,0
9,7,94,13,0
8.5,6.5,90,12,0
8,6,93,13,0
8,6,93,12,0
8,6,90,13,1
9,7,87,11,1
9,7,84.5,14,1
9.5,7.5,79,13,1
10,8,76,14,1
10,8,71,14,1
10,8,71,14,1
11,11,69.5,11,1
10.5,9.5,74,12,1
10.5,9.5,69,11,1
10,9,71,8,0
9,8,76,7,0
8,6.5,84.5,8.5,0
8,7.5,84.5,3,0
7.5,5.5,71,12,0
7,5,76,9,0
7,5,73.5,12,0
6.5,4.5,76,11,0
7,5,76,12,0
7,4.5,78.5,14,0
7,4.5,78.5,15,0
7.5,4.5,78.5,16,0
8,5,79,19,0
9.5,6.5,73.5,18.5,0
10.5,9,74,27,1
11,11,72,27,1
12,12,67,28,1
13.5,13.5,61,28,1
13,13,63,29,1
12.5,12.5,65,30,1
12,12,67,29,1
11.5,11.5,72,25,1
11,11,77,27,1
11,11,77,25,1
11,11,77,27,1
11,11,77,23,0
10,7,88,22,0
10,7,91,20,0
10.5,9,94,17.5,0
11,11,94,15,0
11,11,94,17,0
11.5,11.5,94,17,0
12,12,94,16,0
12,12,94,15,0
12,12,94,18,0
12.5,12.5,97,14,0
13.5,13.5,94,13,0
14.5,14.5,91,15,0
15,15,88,18.5,0
15,15,88,20,1
16,16,83,23,1
18,18,68.5,22,1
18.5,18.5,66,25,1
19.5,19.5,56,31.5,1
18.5,18.5,58,34,1
17.5,17.5,62,29.5,1
16.5,16.5,61,35,1
16,16,63,29,1
15,15,72,27,1
15,15,72,24,0
14.5,14.5,74.5,24,0
14,14,77,22,0
14,14,77,21,0
14,14,77,20,0
13.5,13.5,79.5,22,0
13,13,79.5,25,0
13,13,74.5,27,0
12.5,12.5,74.5,29,0
12.5,12.5,69.5,31,0
13,13,69.5,29.5,0
13.5,13.5,69.5,27,0
15,15,59,35,1
14.5,14.5,57,35,1
16,16,55,30.5,1
15,15,59,29,1
16,16,55.5,32.5,1
18.5,18.5,43,32,1
18,18,41.5,34,1
18,18,40,33,1
17,17,40.5,31,1
17,17,43.5,26,1
16,16,45,25,1
15,15,51,19,1
14,14,53,14,1
13.5,13.5,53,12,0
13,13,59,11,0
12.5,12.5,61,11,0
11.5,11.5,69.5,8,0
11,11,72,6.5,0
10.5,9.5,82.5,11,0
10,8,91,14,0
10.5,10.5,91,4,0
11.5,11.5,88,5,0
12.5,12.5,79.5,9,0
13.5,13.5,74.5,15,0
14.5,14.5,67.5,17,1
16,16,59,18,1
16.5,16.5,57.5,18,1
17.5,17.5,54,20.5,1
18,18,52,21,1
18.5,18.5,52.5,22,1
18,18,56,22,1
18,18,56,20.5,1
18,18,54,18.5,1
18,18,52,19.5,1
17,17,57.5,15,1
16.5,16.5,61,13,1
15.5,15.5,65.5,6.5,0
15,15,70,7.5,0
14,14,74.5,6,0
12,12,82,18.5,0
12.5,12.5,79.5,16,0
13,13,77,24,0
13,13,77,21,0
13,13,82,20,0
13,13,82,18,0
13.5,13.5,82,18,0
14,14,82,17,0
14.5,14.5,79.5,14,0
15.5,15.5,65.5,22.5,1
16,16,55.5,28,1
16.5,16.5,48.5,22,1
16.5,16.5,52,23,1
17,17,47,23,1
18,18,43,22,1
17.5,17.5,44,22,1
18,18,40,22,1
18,18,40,18,1
17.5,17.5,41,22,1
16.5,16.5,43.5,21,1
16,16,43.5,19,1
15,15,48,15,1
14,14,49.5,16,0
13,13,53,16,0
12.5,12.5,52.5,13,0
12,12,56,13,0
12,12,56,12,0
10.5,9.5,64.5,11,0
9.5,7.5,71.5,12,0
9,7,76,12,0
9,7,82,12,0
10.5,9.5,74,14,0
11.5,11.5,69.5,15,0
13.5,13.5,53,18.5,1
15,15,45,26,1
15.5,15.5,45,21,1
16.5,16.5,42,21.5,1
16,16,45,23,1
17.5,17.5,41,22,1
17.5,17.5,39.5,22,1
17,17,43.5,24,1
16.5,16.5,43.5,21,1
16,16,45,17,1
15.5,15.5,51.5,18,1
14.5,14.5,57,17,1
14,14,59,20,0
12.5,12.5,69.5,15,0
12,12,72,12,0
17.5,17.5,75,15,0
16.5,16.5,75,14,0
16,16,77,11,0
16,16,74.5,11,0
15,15,79.5,13,0
14.5,14.5,79.5,14,0
14,14,77,15,0
14.5,14.5,74.5,10,0
15,15,72,17,0
16,16,70,10,1
16.5,16.5,70,13,1
16,16,75,15,1
13.5,13.5,85,24,1
13.5,13.5,75.5,21,1
15,15,53.5,20,1
15,15,48,19.5,1
15,15,49.5,18,1
15,15,55,18,1
14.5,14.5,59,16,1
14,14,61,16,1
13,13,63,16,1
12,12,67,14,0
12,12,69.5,11,0
12,12,69.5,9,0
12,12,67,7,0
12,12,67,7.5,0
12,12,65,6.5,0
12,12,63,6.5,0
12,12,63,6.5,0
12.5,12.5,65,8,0
13,13,63,8,0
13.5,13.5,65,12,0
14.5,14.5,61,12,0
16.5,16.5,57.5,17,1
18,18,52,18,1
19,19,49,16,1
19.5,19.5,47.5,13,1
20,20,47.5,14,1
20,20,51,17,1
18.5,18.5,62,19,1
17,17,80.5,14,1
17,17,80,11,1
17.5,17.5,72.5,9,1
18,18,68,12,1
18,18,70.5,6.5,1
16.5,16.5,75,11,1
15.5,15.5,77,10,0
14.5,14.5,74.5,14,0
11.5,11.5,58,17.5,0
9.5,7.5,66.5,14,0
9,6,73.5,19,0
9,6,76,19.5,0
8,5,84.5,18,0
9,6,82,17,0
9.5,7.5,79,15,0
11.5,11.5,69.5,17,0
13,13,59,17,0
13,13,59,18.5,1
15,15,46.5,19.5,1
15,15,41.5,18.5,1
15.5,15.5,40.5,17,1
15.5,15.5,40.5,17,1
16,16,36,16.5,1
17,17,37,17.5,1
17.5,17.5,35.5,21,1
17.5,17.5,43,19.5,1
16,16,52,22,1
15,15,51.5,23,1
14,14,51,20,1
13,13,63,18,0
12,12,69.5,15,0
12,12,72,11,0
12,12,74.5,11,0
12,12,79.5,14,0
11,11,88,12,0
11.5,11.5,85,15,0
12,12,88,15,0
13,13,88,16,0
13.5,13.5,91,23.5,0
14,14,88,23,0
14.5,14.5,85,26,0
15,15,82,26,0
15,15,88,24,0
15.5,15.5,85.5,21,0
16,16,83,22,1
15.5,15.5,82.5,24,0
16,16,77.5,25.5,1
16,16,65.5,31.5,1
16,16,59,26,1
15,15,59,30.5,1
14.5,14.5,57,29,1
14.5,14.5,48,31,1
13.5,13.5,42.5,27.5,0
13,13,47,21,0
12.5,12.5,45.5,19.5,0
11,11,60,22,0
12.5,12.5,61,21,0
12,12,67,25,0
12,12,65,22.5,0
11,11,74.5,19.5,0
10.5,9.5,79.5,16,0
11,11,72,16,0
12,12,67,20,0
12.5,12.5,65,22,0
14.5,14.5,55,24,0
15.5,15.5,48,26,1
16,16,43.5,23,1
17,17,42,24,1
17,17,40.5,29.5,1
18.5,18.5,36,28,1
19,19,36,29,1
19.5,19.5,36,27,1
20,20,35,27,1
19.5,19.5,36,27.5,1
18,18,40,27,1
17.5,17.5,42.5,28,1
16.5,16.5,42,24,1
16,16,42,25,1
15,15,48,20.5,1
13.5,13.5,55,19.5,1
13,13,59,15,0
11.5,11.5,65,11,0
11.5,11.5,67,15,0
11,11,72,10,0
10,9,76,9,0
10,9,76,8,0
11.5,11.5,72,9,0
13,13,67,13,0
14,14,63,10,0
15.5,15.5,53.5,13,1
15.5,15.5,51.5,10,1
16.5,16.5,46.5,10,1
17.5,17.5,42.5,10,1
18,18,38.5,12,1
18.5,18.5,39,12,1
19,19,35,13,1
20,20,34,10,1
20,20,33,11,1
19,19,36,14,1
19,19,33.5,15,1
16.5,16.5,50,17,1
14,14,74.5,22,1
13,13,79.5,19.5,0
12.5,12.5,79.5,12,0
17,17,88,8.5,0
17.5,17.5,88,6.5,0
18,18,85.5,17,0
18,18,83,19.5,0
17,17,88,21,0
16,16,88,23,0
16,16,88,21,0
16,16,85.5,20.5,0
16,16,83,26,0
16,16,83,23,1
16,16,83,23,1
16,16,83,23,1
16,16,83,24,1
16.5,16.5,80,21.5,1
18,18,73,19,1
19.5,19.5,64,23,1
21,21,55,22,1
19.5,19.5,66,20.5,1
19,19,64,16,1
19,19,66,15,1
18,18,70.5,15,1
18,18,68,11,1
18,18,68,8,1
17,17,73,13,1
16.5,16.5,75,15,0
15.5,15.5,79.5,9,0
15,15,82,12,0
14,14,85,11,0
13,13,88,11,0
13,13,88,12,0
14,14,88,12,0
15,15,82,11,0
15.5,15.5,79.5,9,0
16,16,77,10,0
14,14,91,17,1
14,14,88,13,1
14,14,85,13,1
14,14,88,11,1
16,16,68,11,1
17.5,17.5,60,12,1
17,17,64,17.5,1
17,17,59,14,1
16.5,16.5,63.5,17,1
15.5,15.5,72.5,17,1
14,14,77,16,1
14,14,77,14,0
13,13,82,16,0
12.5,12.5,85,15,0
15,15,68,16,0
15,15,68,11,0
14,14,72,9,0
14,14,69.5,9,0
14,14,72,8,0
14,14,72,8,0
15,15,68,9,0
15,15,65.5,6.5,0
16,16,63,9,0
16,16,63,9,1
17,17,64,7,1
18,18,64,6,1
17.5,17.5,68,12,1
17.5,17.5,75.5,12,1
17.5,17.5,80.5,12,1
