@relation Weather_data

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1}

@data
69.5,61.4,1019.4,13.3,3.7,12,79,63,0
74.5,65.4,1014.8,11.8,3,12,88,64,0
65.5,54.4,1016.3,10.4,10.3,20,82,55.9,1
65.5,60.3,1016.6,10.6,10.6,22,77,57.9,1
71.8,66.6,1019.1,10.2,1.5,8.9,82.9,63,0
70,67.2,1007.2,7,6.1,13,84,66,1
69.2,62.6,1012.7,12.3,1.4,8.9,84,55.9,0
73.2,67.8,1014.4,8.3,13,26,88,64.9,1
82.1,74.7,1009.5,9.7,10.6,14,95,73.9,0
70.8,68.7,1003.2,9.8,4,13,75.9,66.9,1
74.6,69.6,1002.3,10.4,6.3,20,89.1,64.9,0
81.7,74.1,1007.3,13.3,9.2,18.1,90,73.9,0
82.6,72.8,1019.8,13.7,9.6,13,93.9,73.9,0
86.6,75.9,1015.9,11.9,9.1,13,95,78.1,0
82.3,73.8,1009,12.3,5.5,10.1,91.9,72,1
79.6,72.1,1011.2,11,5.1,10.1,90,73,1
75.1,66.3,1015.6,11.1,4.2,11.1,86,64,0
74.7,67.8,1014.2,7.6,3.1,13,84,66,1
81.5,69.1,1005.6,10.1,9,22.9,91.9,71.1,0
78,62.4,1011.8,11.3,6.7,13,90,64.9,0
78.6,67.1,1008.7,12.2,13.4,22,84,73,1
73.2,61.2,1017.7,12,4.7,13,86,60.1,0
75.4,67.9,1017.7,12.5,7.4,15.9,87.1,69.1,1
83.1,74,1012,12.9,12.7,17.1,93,73.9,0
82.8,76.6,1009.2,13.3,10.8,17.1,90,75,1
76.3,69.7,1012.7,13.4,10.5,17.1,82,68,1
69,60.8,1017,11.1,10.2,22,80.1,57,0
70.3,61.3,1019.2,10.7,2.2,8.9,82,55.9,0
72.8,63,1020,12.3,3,11.1,84.9,57.9,0
81.1,71.2,1017.8,12,5.9,13,91.9,70,0
79,71.7,1012.4,14.2,10.5,17.1,89.1,72,1
81.7,74.7,1013,12.8,8.6,15.9,93,72,0
82.4,75.9,1012.4,13.7,7.3,22,93,72,1
68.5,66.5,1010,6.2,5.9,15.9,79,64.9,1
66.7,58.6,1020.1,11,8,15,75,60.1,1
69.7,60.9,1019.1,12.2,8.3,15,82.9,59,0
75.8,63.5,1015.3,14.5,10.3,22,89.1,64,0
76.6,65,1017.1,12.4,9.9,15.9,89.1,64.9,0
73.5,61,1016.4,12,4.2,12,86,64,0
68.8,57.5,1016.6,11.7,6.8,13,79,59,1
63.8,49.5,1016.8,12.8,7.8,27,73,55,0
60.6,47.3,1022,12.3,5.8,13,78.1,45,0
75.4,62.2,1010.2,12.2,14.2,22,86,66.9,0
68.7,62.4,1007.7,11.9,9.5,15,80.1,62.1,1
62.9,58,1018.9,9.8,7.3,18.1,64.9,60.1,1
60.6,55.6,1016.7,9,9.2,22,70,57.9,1
50.3,44.7,1023.5,11.7,10.2,22,64.9,37.9,0
63.1,56.4,1014.9,10.9,3.6,15,77,46,0
61.4,49.1,1018.2,12.8,7.8,26,72,51.1,0
55.9,45.7,1023.3,11.8,6.8,10.1,71.1,41,0
63.6,49.2,1017,14.3,18.6,28,73.9,55.9,1
68.5,60.1,1014,10.5,7.7,13,84,57.9,0
64.3,55,1018.2,14.9,9.5,15,77,55,1
58.7,54.4,1016,11.9,5.9,20,73,53.1,0
57.1,48.5,1010.1,14,6.7,22,66,50,1
60,48.8,1018.9,13.6,1.4,8.9,77,46.9,0
53.2,45.2,1023.9,10.6,3.8,12,69.1,37.9,0
60.7,53.2,1015.2,14.1,11.3,25.1,75.9,50,0
63.3,54.4,1015.8,14.3,7.2,15,77,52,0
62.9,58.7,1012.3,9.2,10.5,26,73.9,55.9,1
42.6,38.5,1014.3,9.8,11.8,20,48,37,1
45,35.3,1019.1,13.8,9,22.9,66,33.1,0
46,37.9,1022.3,13.9,10.1,18.1,57,39.9,0
55.8,49.2,1019.8,11.5,2,8.9,72,45,0
58.4,50.4,1015.1,11.6,5.4,10.1,72,50,0
45.2,34.5,1019.2,14.9,14.3,30.1,57,37.9,0
39.4,31.2,1023.7,14.3,6.3,15,63,26.1,0
55.5,46.4,1016.1,14.4,3.8,17.1,78.1,41,0
56.2,49,1001,12.7,4.5,15,70,44.1,0
51.3,45.8,1008.2,9,19.9,26,60.1,48,1
48.2,37.9,1015.3,14.9,10.1,26,59,39.9,0
39.5,31.5,1026,14.9,13.1,22,48.9,30.9,0
33.4,26.4,1026.4,13.6,7.3,17.1,51.1,21.9,0
50.5,40.6,1009.4,14.9,5.9,19,72,37.9,0
32.6,24.9,1030.2,12.1,16.3,30.1,39,27,0
41.8,30.7,1015.4,13.4,4.3,13,48,35.1,0
48.5,39.5,1013.8,14.5,8,22.9,60.1,35.1,0
45.2,34.3,1017.9,13.3,12.3,22,50,39,0
38.9,26.8,1028,13.3,8.6,19,48.9,28.9,0
17.7,9.1,1033.4,12.9,6.8,10.1,25,14,0
49.1,46,996.3,8.5,17.8,28.9,55.9,24.1,1
18.9,9.2,1031.8,13.9,7.3,15,23,14,0
16,7.8,1036.8,13.1,2.5,15,30.9,7,0
35.8,26.9,1012.3,12.3,16.8,27,50,28.9,0
31.2,23.9,1014.1,7.4,5,15,46.9,21,0
37.6,36.2,1014.6,2.4,7.9,17.1,42.1,32,0
30,27.3,1011.8,4.3,10.9,22.9,39,19,1
18.7,10.4,1024.9,10.8,15,40,39.9,8.1,0
14.5,4.4,1022.2,12,5.7,21,27,5,0
29.6,23.5,1027.8,14.9,4.6,10.1,39.9,19.9,0
41.1,37.6,1023.9,7.1,5.7,13,44.1,37,0
36.6,34.8,1022.5,2.4,2.5,8.9,45,32,1
39,37.7,1011.7,1.8,6.4,27,46.9,16,1
4.8,-1.4,1011.7,4.7,20.3,26,12.9,-0.9,1
23.1,14.5,1032.8,11.9,6.5,17.1,34,12.9,0
34.8,26.6,1021.2,14.9,17.4,26,46.9,28.9,0
36.3,30.7,1013.1,11.2,10.4,19,42.1,28,0
15.3,8.3,1029.2,11.5,6,11.1,39.9,3.9,0
28.5,21.8,1017,9.9,11.6,26,37.9,10.9,0
16.7,8.1,1030.2,8.8,0.4,8.9,28.9,10.9,0
33.4,27.4,1019.8,7.9,3.6,13,46.9,25,0
35.6,29.2,1013,7.4,1,7,46,26.1,0
-6.9,-16.6,1036,9.4,8.1,13,0,-14.1,0
5.5,-3.9,1035.7,11.5,6.1,12,30,-9.9,0
31.9,23.7,1010.4,11.8,9.1,22,50,24.1,0
2.8,-4.1,1027.6,7.5,3.8,10.1,17.1,-11,0
8.3,-1.4,1029.3,8.6,0.2,4.1,21,-8,0
11.1,3,1031.1,10,1.4,8.9,26.1,3,0
20.5,9.9,1030.6,14.7,3.1,15.9,39,10,0
38.8,32.5,1019.2,6.8,6,14,44.1,35.1,0
33.4,31.6,1017.4,5.2,11.1,20,34,30.9,1
24.1,21.1,1019.6,2.5,15.9,21,30.9,21,0
30.5,21.2,1019.6,10.1,2.3,12,44.1,21.9,0
30.6,23.8,1009.2,10,3.8,13,36,24.1,0
16.4,8.7,1019.8,12,14.2,19,28.9,10,0
15.6,7.8,1024.4,14.3,10.5,14,21.9,12,0
15.2,7.3,1033.5,14.9,7.6,13,27,8.1,0
32,24.6,1019.8,10.2,7.5,14,46,24.1,0
43.6,30.3,1017.3,12.4,2.8,8.9,68,28.9,0
14.8,6.8,1018.2,7.3,26.7,49,23,10,0
20.5,16.6,1017.7,6.4,13.5,22,28,12.9,1
11.9,5.1,1027.6,10.4,11.6,18.1,21,6.1,0
33.3,16.9,1018.5,14.9,5,12,48.9,25,0
40.7,31.7,1017.6,11.4,1.8,8.9,55,30.9,1
40.3,31.2,1012.1,14.5,7.5,18.1,52,32,0
30,18.4,1019.2,14.9,13.6,17.1,34,27,0
29.6,25.1,1017.8,7.1,1.2,8,35.1,27,1
45.7,31.2,1011.4,14.9,8.8,17.1,55,37,0
40.6,34,980.2,7.1,14.1,49,63,34,1
31,25.9,999,6.1,15.4,26,34,28.9,0
30.2,23.7,1023.5,10.3,9.8,18.1,39,24.1,0
40.3,24.5,1028.1,14.9,2,7,64,26.1,0
42.2,26.3,1017.3,14.9,10,26,54,34,0
41.5,33.6,1006.9,8.2,6.9,10.1,55,33.1,1
36.6,27.3,1019.1,12.5,15.3,26,45,30,0
39,24.1,1029,13.5,9.5,22,55,27,0
35.2,24.1,1029.5,10.3,9.3,19,45,28,0
37.9,15,1027.7,12.1,0.1,2.9,55,24.1,0
48,20.8,1024.5,13.8,4.8,14,64.9,34,0
60.5,37.2,1018.5,14.4,5.3,12,70,53.1,1
41.8,32.6,1007.3,10.4,14.1,22.9,48,36,1
50.7,41.9,1009.2,11.4,10.5,15.9,64.9,44.1,1
58.8,55.7,1003.5,7.8,4.5,12,66,54,1
71,66.5,999.1,6,7.6,15,89.1,61,0
55.7,38.5,1021,14.5,12,20,69.1,45,0
64.5,49.6,1017.6,14.9,4.8,12,77,54,0
65.9,45.8,1010.6,14.9,4.4,10.1,75.9,51.1,0
68.6,53,1014.1,12.3,1.5,8.9,84,53.1,0
70.6,55.8,1010.2,13,6.3,22,79,63,1
64.8,56.5,1008,12.4,10.4,20,73.9,57.9,1
59,53,1013.4,11.8,5.4,22,73,48,1
67.7,55.5,1011.7,14.5,5.3,15,84.9,55,0
76.9,60.4,1006.8,14.9,10.5,22,90,66.9,0
58.5,53.4,1014.8,11.8,14,24.1,77,52,1
57,52.2,1015.2,8.5,4,10.1,64.9,52,1
67.6,60.7,1007.2,9.2,4.6,18.1,80.1,57.9,0
58.6,43.6,1017.7,14,7.5,13,64.9,48,0
73.7,54.6,1010.3,14.8,16.3,30.1,84.9,63,0
76.9,63.1,1009.3,14.9,15,22,82.9,72,0
69,51.8,1019.9,13.9,3,15,80.1,55.9,1
75.4,65.9,1011.2,14.6,11,19,90,66,1
78.1,67.9,1008.9,11,8.1,22,88,66,1
64,58.5,1018.1,10.9,8.2,15,73,57.9,1
62.1,54.6,1013.4,11.5,5.9,15,73.9,51.1,0
80,69.6,1005.2,14.9,12.3,25.1,90,72,0
85.3,73,998.2,14.3,11.9,25.1,95,77,1
80.9,69.8,1003.9,12.2,5.4,15,90,72,1
67.6,52.9,1020.2,14.1,3.8,12,78.1,54,0
71.7,53.1,1017.2,13.3,2.4,12,82,55.9,0
76.1,58.7,1013.8,14.9,2.8,8.9,90,66,1
76.3,63.1,1012.5,14.9,2,8.9,88,66.9,0
71.6,58.5,1016.2,11.1,1.7,17.1,84.9,57.9,1
67.1,63.5,1016.6,6.4,8,12,75,64,1
72.3,65.2,1014.7,12.3,6.1,10.1,77,68,1
64,50.7,1020.9,14.9,4.6,10.1,73,52,0
67,54.6,1017.2,14.3,7,17.1,79,57,0
73.8,66.2,1012.1,13.3,3.8,15,82,66.9,1
69.4,62,1015.3,11.4,3.1,12,75.9,66,1
68,62.9,1011.6,10.4,6.8,15,73,64,1
69.4,62.2,1018.9,11.7,1.9,10.1,79,61,0
67.5,60.7,1018.8,9.8,0.6,5.1,79,57,0
72.3,63.7,1015.9,13.9,2,10.1,82,62.1,0
73.7,64.9,1014.2,13.4,3.2,10.1,82.9,62.1,0
69.6,58.9,1019.2,14.9,5.9,17.1,79,60.1,0
76.3,65.3,1017,14.4,1.3,8,84,69.1,0
73.6,65.4,1018.3,14.9,6,12,82,66,0
70.2,66.4,1017.8,9.2,7.7,13,79,66,1
66.8,64.2,1018,3.9,4.5,8.9,73.9,64.9,1
74.5,65.6,1014.9,12.9,2.4,11.1,84.9,64,1
76.4,68.1,1018,12.2,9.6,18.1,86,68,1
63.4,56.7,1018.7,12.1,7.7,19,73.9,55,1
71.4,58.3,1010.9,14,3.9,15,86,59,0
75.6,61.6,1010.3,14.9,5.5,10.1,88,64,0
75.3,66.2,1011.7,12.5,8,15.9,84,66.9,0
69.2,58.9,1015.5,14,7.5,12,80.1,59,0
66.4,62.9,1013,7.6,1,8,77,60.1,1
64.8,58,1013.1,8.8,1.5,7,75,55,0
66,60.2,1013.9,8.2,2.5,8.9,81,54,0
64.3,52.6,1025.2,14.9,5,10.1,75,54,0
62.3,51.4,1025,13.6,3.3,8.9,73.9,46.9,0
65.3,57.3,1015,7.7,1.7,8.9,78.1,52,0
68.5,62,1009.6,5.7,0.3,4.1,75.9,62.1,1
56.6,49.1,1020.2,9.5,0.8,5.1,66.9,45,1
59.8,52.1,1021.8,8.7,0.4,5.1,73.9,50,0
66,58.9,1020.8,8.6,2.1,10.1,78.1,55.9,0
64.6,60.9,1010.6,8,5.9,15.9,73.9,60.1,1
57.5,46.2,1023.1,13.3,4.6,10.1,72,44.1,0
59.9,50.6,1017.8,12,3.4,11.1,72,52,0
64.5,57.6,1012.9,10.6,7.8,13,71.1,59,0
67.7,63.8,1013.8,7.6,12.2,25.1,80.1,55.9,1
58.2,54.3,1017.3,7.6,12.8,20,69.1,48,1
50.4,43.2,1015.5,9.7,10.5,17.1,64,43,0
57.6,49.3,1012.9,9.9,6.8,15.9,71.1,45,0
58.5,46.5,1020.2,10.2,4.4,11.1,78.1,43,0
65.9,53.6,1014.8,10.9,5.5,17.1,80.1,53.1,0
64.6,53.4,1015.7,12.1,7.8,20,80.1,54,0
70.4,60.1,1014.1,10.8,10.9,19,75.9,64.9,1
65.8,51.4,1018,14.2,8.4,15.9,77,55,0
47.4,42.1,1015.8,7.5,10.9,15.9,55.9,42.1,0
48.7,40.5,1017.1,8.7,8.2,15.9,62.1,37.9,0
47.3,33.9,1020.4,9.2,5.4,15,63,34,0
61.7,46.1,1011.2,11.9,3.7,8.9,75,52,0
65.1,54.4,1011.2,10.6,4.9,15.9,81,52,0
37.7,33.8,1026.7,8.4,16.9,28,50,33.1,1
34.3,27.9,1022.9,9.6,6.4,15.9,45,25,0
28.9,19.9,1025.3,9.8,2.5,10.1,39.9,21,0
34.9,25.8,1025.5,7.9,4.4,15,48,24.1,0
48.3,35.7,1012,8.4,15.4,24.1,68,37,0
59.6,52.5,1005.2,11,12.8,15.9,64,55.9,0
41.2,27.9,1022.7,10.7,14.6,25.1,54,32,0
44.1,33.2,1007.6,11.1,5.9,17.1,60.1,33.1,0
19.4,10.8,1025,8.3,10.5,18.1,28.9,8.1,0
40.8,34.4,1013.8,10.1,4.9,13,53.1,35.1,1
19,8.9,1023.7,11.5,18.6,35,42.1,6.1,0
24.9,13.4,1024.5,9.9,7,13,37.9,16,0
26.2,17.8,1024.1,11.1,12.6,17.1,39.9,17.1,0
30.7,20.5,1021.6,12.2,9.7,13,39.9,21.9,0
17.6,10.8,1016.9,10.2,9.6,22,30,9,0
29.8,20.8,1008.8,8.8,10.8,17.1,39.9,23,0
16.3,9.8,1023.1,5.8,22.6,35,36,3,0
33,26,1014.1,8.9,6.2,18.1,43,30,0
19.7,13.4,1022.8,8.7,13.2,24.1,36,12,0
16.1,8.6,1030.7,8.7,9.6,17.1,21,10,0
16.5,11.2,1029.5,7.4,6.4,13,28,8.1,0
28.9,21.5,1024.4,8,7,12,45,19.9,0
39.5,29.7,1017.5,9.2,5,8.9,55.9,27,0
34.7,26,1023.4,9.9,7,10.1,45,28.9,0
32.5,23.3,1013.2,10.4,12.2,19,45,28,0
11.6,3.2,1030.4,10.1,8.4,17.1,26.1,1.9,0
26.1,16.9,1014.9,11.6,9.3,17.1,46.9,16,0
31.9,22,1017.5,10.4,3.6,10.1,45,21.9,0
31.6,22.3,1010,9.4,11.1,20,46,25,0
22.9,15.7,1012.3,7.1,10.3,15.9,27,21,1
24.1,18.8,1015.7,6.3,7.7,13,28,16,0
6.9,1.9,1034.2,8.5,11.1,17.1,14,1,0
7.9,1.8,1030.2,9.6,4.7,17.1,32,-2,0
23.5,19.2,1011.3,9,1,6,35.1,10.9,0
24.5,18.3,1020.5,9.6,5,15.9,39,15.1,0
30.6,25.5,1014.4,10.9,11.2,26,37.9,25,1
19.7,12.1,1024.1,9.9,10.6,17.1,28.9,12,0
12.5,5,1020.5,8,19.2,22,28,3.9,0
-0.4,-9.2,1034.1,7.4,19.5,24.1,3,-4,0
-2.3,-9.7,1042,8,15.1,17.1,5,-7.1,0
-2.4,-9.8,1031.9,9.7,13.5,22,10,-13,0
29,24.9,1017.5,6.8,11.4,19,37.9,23,0
7.6,-2.7,1034.1,9.9,17,26,17.1,-0.9,0
17.3,8.9,1026.3,9.4,13.2,22,21.9,15.1,0
32.4,22.1,1020,9.5,12,17.1,57,23,0
9.2,-0.3,1043,9.1,4.6,13,23,-2.9,0
36.6,36,1013.5,1.8,3.1,10.1,39.9,33.1,1
43.7,38.6,1018.3,5.2,13.1,22,52,37.9,1
35,30.9,1011.7,7.5,15.3,26,37.9,32,1
30.9,25.5,1003.2,6.8,13.6,22,41,24.1,1
27.5,14.6,1021,9.8,11,22,45,16,0
19.1,9.4,1029.4,9.4,16.5,22,42.1,6.1,0
19.4,15.4,1032.2,4.1,22.1,26,30,16,0
18.5,13.2,1022.1,6.4,20.8,27,25,14,0
24.9,20,1018,8.3,16.8,22,30.9,21.9,0
24.8,18.6,1020.3,8.1,10.3,17.1,37,17.1,0
28.5,22.1,1012.5,10.4,11.6,22,39,23,0
30.6,27,1008.9,5.5,14.9,22,37,28,1
19.4,12.2,1022.5,10.1,5.7,14,37,9,0
32.3,24.5,1023.3,11.8,7.6,19,48,23,0
41.5,33.2,1018.5,11.4,5.3,26,57.9,28.9,0
50.2,43.1,1002.9,5.2,14.9,22,66,42.1,1
34.3,23.5,1010.2,9.7,19,27,39,30.9,0
34.1,26.7,1012.4,9.9,10.7,17.1,42.1,28.9,0
33.8,28.5,1013.8,8.5,15,22,37.9,30,0
41.5,31.7,1018.7,12.4,8.1,17.1,57.9,28.9,0
46,39.8,1013.8,8,10.1,17.1,57.9,39.9,1
38.7,35.9,1007.7,5.7,10.8,17.1,44.1,35.1,1
38.2,33.3,1012.3,6.9,17.5,26,44.1,33.1,1
35.7,26.9,1021.1,12.8,11.4,22,48,28,0
54.1,40.1,1004,8.5,11.5,22.9,64.9,43,0
39.6,30.1,1024.8,11.3,16.9,22,50,33.1,0
54.5,46.5,1012.6,9.9,10.4,17.1,64.9,46.9,1
47.8,44.2,1013.6,7.6,16.2,22.9,53.1,44.1,1
62.4,55.4,1013.4,7.6,16.7,26,81,53.1,1
68.8,57.7,1008.8,9.8,9.8,22,84.9,55.9,0
65.3,50.6,1011.9,9.8,16.9,30.1,78.1,55.9,1
63.5,50.6,1012.3,10.1,15.9,22,73,55,0
59.7,48.4,1017.2,13,7.4,17.1,73.9,46.9,0
63.4,58.2,1010.4,8.2,7.1,17.1,72,57.9,1
55.7,51.5,1012.5,6.4,16.4,26,62.1,48,1
58.3,48.7,1016.9,11.6,4.3,17.1,72,44.1,0
65.2,53.3,1015.5,14,15.4,26,78.1,55,0
67.3,63.1,1014.8,7.8,9.8,22,73.9,63,1
65.3,59,1011.1,9.7,9,17.1,78.1,61,1
62.8,55.8,1015.4,12.6,13.1,22,71.1,57,1
61.4,52.4,1017,11.6,6.7,13,73.9,46.9,0
66.8,58.8,1008.2,12.2,13.1,26,78.1,55,0
64.9,61.1,1005,9.3,7.6,22,75,59,1
69.9,60.2,1010.5,12.6,7.8,18.1,80.1,60.1,1
51.2,44.6,1019.9,10.1,13.3,22,57,46,1
56.7,49.3,1022.8,11.6,6.6,13,61,51.1,1
62.2,59.3,1008,5.3,12.8,22,66.9,59,1
67.1,57.9,1015,9.1,9.1,17.1,77,57.9,0
66.9,56.7,1017.9,10.6,3.6,8.9,75.9,57.9,0
67.2,58.2,1011.8,9.4,4.1,8.9,78.1,55.9,0
74.1,66.4,1011.1,10,8.6,15,82.9,66.9,1
63.5,60.7,1011.4,8.9,7.2,13,69.1,60.1,1
67.3,64.7,1009.3,8.6,7.2,26,75,61,1
70.5,66.4,1009.9,9.9,7.7,15.9,77,66,1
64.9,60.2,1013.4,12.1,7.6,22,75,57,1
65.4,58.3,1014.9,10.6,10,22,80.1,60.1,1
64.4,58.5,1014.9,9.4,4.7,17.1,73.9,57,1
69.5,64,1013.5,11.3,9.1,19,78.1,63,0
72.3,64.8,1009.5,10.7,5.4,8.9,81,62.1,1
70,63.9,1013.6,10.9,12.1,28.9,81,62.1,1
69.8,63.2,1020,9.9,3,11.1,82,57.9,0
80.5,72.5,1016.7,10.2,6.1,15.9,90,70,0
77.7,71.5,1017.4,11,7.4,26,88,68,1
79.7,73.4,1015.5,11.4,5.4,13,90,70,0
84.3,75.5,1010.3,12.2,11.8,22,95,75.9,0
83.6,75.7,1005.9,10.3,13.8,20,91,78.1,0
82.4,74,1014,12.3,5.8,14,93,72,1
78.8,68.7,1015.6,11.4,8,13,87.1,69.1,0
81.8,73.6,1014.4,7.9,10,17.1,95,73.9,0
79.3,70.6,1012.2,11.7,10.8,19,91.9,71.1,1
78.1,67,1013.7,14.1,14.5,19,98.1,66.9,0
85.9,73,1009.8,12.3,8.1,17.1,97,75,0
69.9,63.9,1015.1,8.9,3.8,26,84,60.1,1
71.8,64.2,1017.2,9.9,6.2,22,82,62.1,1
69.3,62,1017.4,9.2,2.2,8.9,81,59,0
71.2,61.4,1017.8,10.1,6.3,17.1,82,60.1,0
67.4,59.8,1021.8,10.1,9.5,17.1,77,62.1,1
69.5,65.2,1016.9,8.2,13.2,17.1,77,64,1
81.3,74,1006.3,10.1,8.3,10.1,93,73,0
76.2,72,1009,8.3,6.1,17.1,88,71.1,1
67.6,60.8,1020.6,8.7,5.2,17.1,72,64,1
63.7,55.4,1022.1,10.4,1.9,8.9,73.9,53.1,0
68.6,60.2,1017.1,10.2,10.5,22,75.9,63,0
69.7,64.8,1006.9,9.2,11.3,22,73.9,64.9,1
65.8,56.6,1006,14.3,6,15,82,54,0
60.4,48.7,1014.2,13.3,3.4,13,77,50,0
58.1,47.9,1023.1,10.1,9.3,17.1,66,50,1
55.7,45,1024,9.9,3.3,8.9,70,43,0
60.9,49.1,1018.8,10.4,1.9,6,77,48,0
62.1,53.2,1016.8,8.1,3,13,78.1,48.9,0
58,48.9,1015.4,10,12.8,22,77,48,1
56.1,46.4,1015.7,11.7,5.5,13,64,48.9,1
52.7,49.8,1018.4,4.4,7.9,15.9,57.9,50,1
65.8,58.5,1003.5,5.8,14.2,22,75.9,55.9,1
55,43.3,1019.8,9.7,14.2,21,64.9,48.9,0
72.2,64.4,1010.4,7.9,5.8,13,84.9,63,0
72,62.4,998.6,9.1,6.8,22,84.9,60.1,1
48.9,46.2,1023.2,7.4,9.4,13,53.1,46.9,1
46.3,37.8,1028.6,7.7,4,11.1,61,34,0
61.5,51.5,1015.1,10,1.8,6,79,51.1,0
64.2,54,1015.3,9.6,12.7,26,77,54,0
57.3,46.7,1014.3,9.5,16,24.1,70,48,0
47.9,42.3,1011.5,8.6,10.5,17.1,62.1,39.9,0
41.5,35.3,1015.3,8.6,10.8,18.1,46,36,1
41.8,33.9,1023.2,9.9,5.3,8.9,48.9,37,0
37,31.4,1025.8,7.6,10.2,17.1,43,33.1,1
44.8,37,1016.9,8.5,1.1,8.9,60.1,34,0
49.8,43.7,1009.9,8,16,26,55.9,37.9,1
33.1,22,1025.9,9.9,11.8,22.9,37.9,28,0
21.4,11.1,1030.7,11.9,11.7,22,27,12.9,0
29.2,18.6,1011,10,16.3,35,44.1,19,0
29,19,1026.4,9.4,8.9,13,35.1,21,0
49.3,44.1,1014.6,8.8,12,30.1,59,41,0
52.8,49.1,990.3,9.6,10.6,26,59,48,1
41.8,36,1000.3,12.8,11.3,17.1,48.9,33.1,0
22.7,14.3,1037.8,7.8,16.1,22,28,19,0
