@relation artificial_weekday.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
5,0.5,59,25,0
5,1,59,22,1
4.5,0,63,24,1
4,0,65,20.5,1
3,-1,70,16,1
2.5,-1.5,72.5,17,1
2,-2,75,17,0
2,-2,81,16,0
2,-2,78,15,0
1.5,-2.5,84,13,0
3,-1,87,16.5,0
2.5,-0.5,90,11,0
4,0.5,87,16,0
4,1,87,11,0
4.5,1.5,87,13,0
5,2.5,87,10,0
5,3.5,87,6.5,0
5,2,87,11,1
5,3.5,87,6.5,1
5,2.5,87,10,1
6,3.5,81,11,0
7,4.5,76,14,0
8,5.5,71,14,1
8.5,7,68.5,11,1
9,7,66,11,1
9.5,8.5,64,9,1
9.5,8.5,64,7,1
8.5,7.5,68.5,6,1
6.5,6,78.5,5,1
6,5.5,81,5,1
5,3.5,87,7.5,1
4,3.5,90,5,0
3,3,93,2,0
3.5,3.5,93,2,0
3.5,3,93,3,0
4,4,93,4,0
4,3.5,93,5,0
4,4,93,4,0
4,4,93,2,0
4.5,4.5,90,2,0
4.5,4.5,90,2,0
5,4,87,6,1
5,4.5,87,5,1
5.5,4,81.5,7.5,1
6,4,73.5,9,1
6.5,5,68.5,6.5,0
7,6.5,66,3,1
7,7,66,2,1
7,6.5,68.5,5,1
7,6,68.5,7,1
6.5,4.5,71,9,1
6.5,4.5,71,10,1
6,3.5,76,12,1
6,4,76,11,1
6,4,76,9,1
6,3,73.5,14,0
5,2,76,11,0
5,2,78.5,12,0
5,3,76,9,0
5,2.5,81,10,0
5,2,81,11,0
5,3,81,9,0
5,2.5,81,9,0
5,3,78.5,8,0
5,3,81,8,1
5.5,3.5,78.5,8,1
5,3,81,8,1
5.5,3,73.5,9,0
5,3,78.5,7,0
5,3,76,7,1
5,4.5,76,5,1
5,5,76,2,0
5,4.5,76,3,1
5,4,76,6,1
5,3,76,7,1
5,3,76,7,1
5,3.5,73,6.5,1
5,3.5,76,6.5,1
5,3,76,7,0
5,3.5,76,7.5,0
5,2,76,11,0
4,2,75,7,0
4,2.5,75,6.5,0
4,3.5,75,5,0
4,2,75,7,0
4,3,75,6,0
4,3,75,6,0
4,2,72.5,7,0
4,3,70,6.5,1
4,3,72.5,6,1
4,4,70,2,1
4,3.5,72.5,5,0
4,3.5,75,5,0
4,3,75,6,1
4.5,3,72.5,6.5,1
4,2,75,9,0
4.5,2.5,72.5,9,0
5,2,66,12,1
4,1.5,70,10,1
4,1.5,70,10,1
4,1,70,11,1
4,3,70,6,1
3.5,1,72.5,8,0
3,1.5,78,6.5,0
3,0,81,10,0
2.5,-1,87,11,0
3.5,2,84,6.5,0
4,1,87,14,0
5,2,87,13,0
5,2,93,15,0
6,3,87,19,0
6,2.5,87,18.5,0
6.5,3.5,87,19,1
7.5,4.5,84.5,19.5,1
8,5,82,18.5,1
8,5,82,19.5,1
9,6,76,23,0
9,6,76,22,1
8.5,5,79,26,0
8,4.5,84.5,23,0
8,4,87,25,0
9,6,82,18,1
9,6.5,82,17,1
8.5,5.5,84.5,21,1
7,3.5,84,24,0
7.5,5.5,84.5,13,0
8,5,82,15,0
7,5,87,13,0
7,4.5,93,14,0
3,0.5,100,8,0
2.5,0.5,96.5,7,0
2,-0.5,100,7.5,0
2.5,0.5,100,7,0
4,1.5,100,10,0
4,2,100,9,0
4,2,93,7,0
5,2.5,93,10,1
5.5,3.5,96.5,8,1
6.5,4.5,93,8,1
8,6,84.5,13,0
9,6.5,76,16,0
9,7,73.5,15,0
9,7,76,11,0
9,8,76,9,0
8,7,87,7,0
8,7,87,7,0
8,7.5,87,5,1
7.5,6.5,90,6.5,1
6.5,3.5,90,17,0
6,4,87,10,0
6,4,93,9,0
6,3.5,90,11,0
6,3,84,16,0
5.5,2.5,81,17,0
5,2,81,14,0
4.5,1.5,81,13,0
4,1,81,13,0
4,1,81,13,0
4,1,81,14,0
4,1,81,13,0
4,1,81,12,1
4,1,81,14,1
5,2,76,17,1
6.5,4,68.5,13,1
7,4.5,66,15,0
8,6,55,12,1
8,5.5,55,16,1
8,5,51.5,18,1
9,6.5,50,16,1
8,6,53,11,1
8,6.5,53,7.5,1
6.5,5.5,59,6,1
6,6,61,4,1
6.5,5,61.5,8,1
5.5,3.5,68,8,0
5,3,70,9,0
4.5,2.5,72.5,9,0
4,1.5,75,10,0
4,1.5,75,10,0
3.5,1,78,8,0
3.5,1,78,9,0
3,1,81,7.5,0
3,0.5,81,8,0
3,1,78,7,0
3.5,1,72.5,8,1
4.5,2.5,72.5,8,1
7.5,4.5,64,18,1
8.5,5.5,60,19.5,1
9,6,62,21,1
10,7,58,21,1
10,7.5,58,20.5,1
10.5,9.5,60,18,1
9,6,64,21,1
8.5,5.5,66.5,20.5,1
8,5,68.5,19.5,1
7.5,4,73.5,21.5,1
7,3.5,73.5,21,1
7,4.5,73.5,16,1
7,4,76,18,0
6,3,81,16,0
6,3,81,17,0
6,3,81,18,0
6,2.5,81,19.5,0
5,1,78.5,20.5,0
5,1,76,19.5,0
6,2.5,76,19.5,0
6,3,81,18,0
6,3,81,16,0
6,3,81,19,1
7,4,76,18.5,1
8,4,76,27,1
8.5,5,73.5,26,0
9,5,71,29,0
8.5,5,76,26,1
8,4,82,27,0
8,4,82,26,0
8,4,82,26,0
8,4,87,26,0
8,5,87,22,1
8,5,87,19.5,1
8,5,87,22,0
8,5,87,18,0
8,5,87,16,0
7.5,5,90,14,0
8,5.5,90,14,0
8,6,87,13,0
8,5.5,87,14,0
7.5,5.5,93,10,0
7.5,4.5,90,16,0
7.5,5,90,15,0
7,5,93,13,0
7,4,81,16,0
6.5,4.5,84,9,1
6,5,87,5.5,1
7,7,81,2,1
7,7,76,2,0
7,7,76,2,0
7,6.5,76,3,1
7,5,76,9,1
7,5,76,11,1
7,5,76,12,1
7,5,73.5,11,1
7,5,71,9,1
6,4,76,7,1
5.5,3.5,78.5,8,1
5,3,81,8.5,0
5,2.5,81,10,0
5,2.5,81,9,0
5,2.5,81,11,0
9.5,5.5,71,32,0
9,5.5,71,25,0
8,4.5,71,23,0
7,4,78.5,18.5,0
6.5,4,73.5,14,0
6,3,76,14,0
6,3,76,16,0
6,2,73.5,20,1
6.5,2.5,73.5,21,1
7,3,63.5,29,1
7.5,3.5,64,26,0
8.5,4.5,60,28,0
8.5,4.5,53.5,29.5,0
8.5,4.5,54,34,0
8.5,4.5,49.5,30.5,0
7,3,63.5,28.5,0
7,2,55,38,1
6,1,63.5,32.5,1
6,2,61,23,1
5,1,70,21.5,1
5,0.5,70,25,0
6,1,66,30,0
6,1,68.5,30.5,0
5.5,0.5,78.5,31.5,0
6,1.5,76,29,0
6.5,2.5,71,29.5,0
6,1,76,33,0
6,1,76,32,0
6,1,76,31.5,0
5,1,81,23,0
5,1,81,20.5,0
5,1,81,22,1
6,2,76,20,1
7.5,3.5,71,23,1
9.5,5.5,60,32,0
9,5,62,31,0
9,5,60,32,1
9,5,56,31,1
9,5.5,56,28.5,0
9.5,5.5,46.5,39,1
9,5,44.5,34.5,1
8.5,4.5,48,27.5,1
8,4,51.5,25,1
7.5,4.5,59,20,1
7,3,63.5,22,0
6.5,3,68.5,20.5,0
6,2,73.5,23,0
6,2.5,73.5,18.5,0
6,3,76,15,0
6,3.5,78.5,11,0
7,5,78.5,13,0
7,4.5,81,14,0
7,5.5,81,9,0
7,5.5,87,9,0
7,5,93,9,0
7.5,5.5,90,11,1
8,5,90,15,1
8.5,6.5,90,14,1
9,6,87,18,0
10,8,79,16,0
10,8,76,14,1
10.5,9.5,69,12,1
11.5,11.5,65,15,1
11,11,64.5,12,1
11,11,62,6.5,1
11,11,64.5,4,1
11,11,64.5,6.5,1
11,11,69.5,6.5,1
11,11,69.5,8,1
10,9,76,9,0
10,9,82,8,0
10,8,82,11,0
10,8,88,16,0
11,11,82,14,0
10,8,91,15,0
10,8,94,15,0
10,8,94,13,0
10,8,94,15,0
10,8,94,15,0
10,8,94,16,1
10,8,94,17,1
11,11,88,21.5,1
11,11,91,22,0
11,11,94,19,0
11,11,94,17,0
12,12,88,20,0
10,8.5,88,21.5,0
9,6,76,21.5,0
9,6.5,73.5,15,1
8.5,5.5,58,22,1
8,5,64,16,1
7.5,4.5,64,18.5,1
6.5,3.5,63.5,16,0
6,3.5,61,14,0
5.5,2.5,65.5,14,0
5,2,68,12,0
5,2,66,16,0
4.5,1,68,17,0
4,1,75,14,0
4,0.5,75,15,0
3,-1,75,16,0
3,-1,78,17,0
2.5,-1,81,12,0
3,0,81,13,1
3.5,0.5,78,14,1
5.5,2.5,70.5,14,1
6.5,3.5,63.5,18,1
7.5,5,59,14,1
8,5.5,55,16,1
9,6.5,50,17,1
9,6.5,50,17,1
9,6,46,18.5,1
9,7,46,13,1
8,6,50,12,1
8,6,53,10,1
7.5,5,61.5,13,1
6.5,4.5,73.5,12,0
6,3.5,76,12,0
5.5,3,78.5,11,0
5,2,81,12,0
5,2,78.5,16,0
5,1,78.5,19,0
4,0,81,18.5,0
4,0,81,22,0
4,-1,81,24,0
4,-0.5,81,24,0
4,0,81,19.5,0
5,0.5,76,24,1
6,1,73.5,30.5,1
6,1,68.5,34,1
7,2,57,35,0
7,2,49.5,44.5,0
8,3,44.5,45.5,0
8.5,4,43,40,0
9,5,40,38,0
9,5,35.5,35,1
8.5,4.5,40,33.5,1
8,4,40,31.5,1
7,3,47.5,27.5,1
6,2,61,21,1
5.5,1,63.5,26,1
5,0.5,66,25,0
5,0.5,70,25,0
5,1,70,20.5,0
5,1,70,22,0
5,1,73,22,0
5,1.5,76,17,0
5,2.5,76,9,0
5,2,76,11,0
6,3,73.5,18,0
5.5,1.5,81.5,22,0
5,1.5,84,16,1
6.5,3.5,78.5,18.5,1
7,4,78.5,20,1
8,4,66.5,26,0
9,5.5,54,27,0
8.5,4.5,50,31.5,1
9,5,50,28,1
9.5,5.5,43,33,1
9,5.5,50,25.5,1
8,4.5,49.5,26,1
7.5,3.5,49.5,28.5,1
7,3,49,28,1
6.5,2.5,55,25,1
6,2,59,27,0
5,0,66,26,0
5,0.5,66,24,0
5,1,66,22,0
4.5,0,70.5,23,0
4,-0.5,75,23,0
4,-0.5,75,23,0
4,0,75,18,0
4,0,78,19,0
4,0,81,19.5,0
3.5,-1,84,21,0
4.5,0.5,75.5,21,1
5.5,1.5,68,24,1
6.5,2,63.5,26.5,1
7,3,61,29.5,0
8,4.5,57,26,0
9,5.5,56,26,1
9,6,54,24,1
10,7,47,26,1
10,7,47,24,1
10,7,50,20,1
9,6,54,18.5,1
9,6.5,54,16,1
8,5.5,57,13,1
7.5,5.5,64,9,1
7,5,66,13,0
6.5,4.5,68.5,10,0
6,3.5,71,12,0
6,3.5,68.5,12,0
4.5,1.5,72.5,11,0
4,2,75,9,0
3.5,0.5,78,11,0
3,0,81,11,0
3,0,81,12,0
3,0,81,11,0
3.5,0.5,75,12,1
5.5,2.5,68,14,1
7,4,63.5,15,1
8,5,62,17,1
9.5,7,62,17,0
10,8,62,18,1
11,11,56,20.5,1
11.5,11.5,52.5,19.5,1
11.5,11.5,52.5,20,1
11,11,54,20.5,1
10.5,9.5,56,20.5,1
10,8,54,17,1
9,6,62,20,1
9,6,62,21,0
9,5.5,62,25,0
9,6,62,24,0
8,4.5,64,22.5,0
8,4.5,66,22,0
8,5,64,17,0
8,5,64,15,0
8,5,62,19,0
8,5,64,15,0
7.5,5,64,14,0
7,4.5,71,13,0
7,5.5,71,9,1
7.5,5.5,68.5,12,1
8.5,5.5,64,19.5,1
10,7,62,22,1
11,11,58,23,1
12,12,56,21,1
12,12,56,26,1
13,13,53,23,1
12,12,54,24,1
11.5,11.5,56,22,1
10.5,9,58,20,1
9,6,62,18.5,1
8.5,5.5,64,18.5,1
8,5.5,71,14,0
8,5,71,16,0
8,6,71,10,0
7.5,6.5,68.5,7,0
7,7,81,2,0
6,5,81,6.5,0
5.5,3.5,81,8,0
5,3,81,7,0
5,4,81,6,0
5,4.5,81,5,0
5,3,81,7,0
6,4,76,9.5,1
7.5,5.5,71,11,1
9,6,73.5,17,1
9,6.5,79,18.5,0
9,6,87,19,0
9.5,7,84.5,18,1
10,7,82,21,1
10,7,82,20,0
10,8,82,18,1
10,7.5,82,19.5,1
10,7.5,88,20.5,1
10,7,88,22,1
10,7,88,20,1
10,8,91,19,0
11,11,88,15,0
11,11,88,17,0
10,8,91,17,0
10,7.5,79,19.5,0
9.5,7.5,79,16,0
8.5,5.5,82,16,0
8,5.5,82,14,0
7.5,5.5,81.5,13,0
7,5,81,10,0
7,6,78.5,6.5,0
7,5.5,81,8,1
8,5.5,73.5,12,1
9,6,62,19,1
9,6.5,60,15,1
10,8.5,58,9,1
11,11,47,6.5,1
12,12,44,5,1
12,12,41,5,1
11.5,11.5,44,5.5,1
11.5,11.5,45.5,7,1
11,11,44,10,1
10,9.5,50,6.5,1
9.5,8.5,54,7,1
7.5,6,68.5,9.5,1
6.5,4.5,78.5,12,0
6,3,76,13,0
5,2.5,81,10,0
5,3,87,7,0
5,3,84,7,0
4.5,3.5,87,6,0
4,2,90,8.5,0
4,2,90,8,0
