@relation artificial_holiday.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
15,15,88,12,0
15,15,88,11,0
15,15,88,8,0
8,6,66,13,0
7.5,5.5,71,11,0
7,5.5,76,8,0
8,6.5,76,9,0
8.5,6.5,73.5,10,0
9,7,76,11,0
9,8,76,8,0
9,8,82,9,0
9,7.5,82,10,0
10,8,76,16,0
10,8,76,14,1
10,7.5,82,18.5,1
10.5,9.5,85,16,1
11.5,11.5,88,16,1
13,13,91,18.5,1
14,14,85,22,1
14,14,82,25,1
14,14,82,25,1
14,14,88,25,1
14.5,14.5,82.5,27,1
15,15,77,26,1
15,15,77,32,0
15,15,77,31.5,0
15,15,79.5,31.5,0
11,11,94,11,0
11,11,94,12,0
10.5,10,91,9,0
10.5,10,91,5.5,0
10,9,88,9,0
10,9,88,8,0
10,9,82,8.5,0
10.5,10.5,76.5,9.5,0
11,11,72,17,0
11.5,11.5,69.5,14,0
13,13,63,14,0
13.5,13.5,61,15,1
14,14,59,16,1
13.5,13.5,61,18.5,1
12,12,67,19.5,1
12,12,69.5,18.5,1
11,11,72,13,1
11.5,11.5,69.5,18,0
12,12,67,21,0
12,12,67,24,0
12,12,67,24,0
13,13,63,21,0
13,13,63,18,0
13,13,67,17,0
6,3.5,81,13,0
5.5,3,84,11,0
5,2.5,84,10,0
5,4.5,81,5,0
5,4,76,5.5,0
4,3.5,87,5,0
3,0,87,10,0
3,0,87,12,0
3,0,87,12,0
4.5,1.5,84,14,0
5.5,2.5,76,17,0
6.5,3.5,81,16,0
8,5,76,19,0
8,5,76,18,1
8,5,79,20,1
8,4.5,84.5,23,0
8,4.5,87,23,0
8,4.5,87,23,0
8,4.5,87,22,0
8.5,5,84.5,26,0
9,6,76,26,0
9,5.5,79,27,0
9,6,82,24,0
8.5,5.5,87,20,0
9,6.5,94,16,0
9,6.5,94,16,0
9,6,94,17,0
9,7,94,14,0
9,6.5,100,16,0
9,6.5,90.5,15,0
9,6.5,79,15,0
8,5,79,15,0
9,6,71,19,0
10,7.5,60,19.5,0
11,11,56,17,1
12,12,49,15,1
13,13,49,8,1
13,13,47,15,1
14,14,42.5,12,1
15,15,40.5,8.5,1
14,14,41,10,1
14,14,41,11,1
13,13,44,9,1
11,11,62,16,1
10,8,62,17,0
9.5,7.5,64,14,0
9,7,64,13,0
8,6,76,11,0
9,5,87,29.5,0
8,3.5,87,39,0
8,3,87,40.5,0
9,4.5,82,40.5,0
9.5,5.5,81.5,39.5,0
10,6,85,41.5,0
9,4,73.5,52,0
8,3,76,46,0
5,-2,87,54,0
7.5,2,73.5,50,0
9,4.5,66,41,0
10.5,8.5,58,37,0
11,11,48.5,42.5,1
12,12,45.5,43.5,1
11.5,11.5,45.5,32,1
12,12,44,33,1
11.5,11.5,50.5,29.5,1
8,4.5,79,27.5,0
8,5,84.5,15,0
8,5.5,82,16.5,0
7.5,4.5,81.5,18,0
7,4,81,18.5,0
7,3,81,24,0
7,3.5,78.5,20.5,0
11,11,77,18,0
11,11,77,18,0
11,11,82,16,0
10,8,88,15,0
10.5,9.5,91,13,0
11,11,91,13,0
11,11,94,14,0
12,12,88,17,0
12,12,88,17,0
13,13,82,18.5,0
13.5,13.5,79.5,16,1
14,14,77,22,1
15,15,68,25,1
15.5,15.5,65.5,27,1
17,17,59,26,1
16,16,59,27,1
15.5,15.5,65.5,30,1
14.5,14.5,72.5,29.5,1
13.5,13.5,79.5,28.5,1
12,12,72,20,1
12,12,72,21,0
12,12,63,22,0
11,11,69.5,21,0
11,11,67,24,0
13,13,85,13,0
13,13,88,17,0
13,13,82,14,0
13,13,82,17,0
12.5,12.5,85,16,0
12.5,12.5,82,19.5,0
12,12,88,16,0
13,13,82,19.5,0
13,13,82,18,0
13,13,82,18.5,0
13,13,82,17,1
14,14,79.5,19,1
15,15,77,20.5,1
15,15,77,22,1
15.5,15.5,74.5,23,1
16,16,68,22,1
17,17,66,22,1
17,17,66,24,1
17,17,64,22,1
17,17,59,25,1
16,16,61,24,1
16,16,61,21,0
15,15,68,23.5,0
14.5,14.5,65,25,0
18.5,18.5,83,9,0
18.5,18.5,83,10,0
18,18,83,12,0
17,17,83,8,0
16,16,85.5,8,0
16,16,83,11,0
16,16,83,9,0
16.5,16.5,78,7,0
17.5,17.5,75,5.5,0
18.5,18.5,70.5,10,1
19.5,19.5,66,14,1
20,20,64,10,1
20,20,60,9,1
21.5,21.5,56.5,7,1
22,22,53,8,1
22.5,22.5,50,6,1
23,23,45.5,5.5,1
23,23,44,15,1
23,22.5,42.5,13,1
22.5,21.5,42.5,10,1
21,21,50,5,1
19.5,19.5,58,2,1
19,19,64,4,0
18.5,18.5,66,2,0
13,13,77,31.5,0
13,13,77,30.5,0
11.5,10,85,28,0
9,6,90.5,18,0
9.5,6.5,76,22,0
9,6,76,21,0
9,6,76,24,0
8,4.5,82,22,0
8,5,82,22,0
9,5.5,66.5,26,0
9,5,58,30.5,1
9,5,56,32.5,1
9,5,54,32,1
9,5.5,54,27,1
9,6,58,23,1
8,5.5,62,16.5,1
7.5,4.5,64,16,0
7,4.5,66,15,0
7,4.5,66,16,0
6,3,71,14,0
6,3.5,71,12,0
5,2,76,16,0
5,1.5,76,18,0
5,2,73,15,0
4.5,1.5,72.5,13,0
4,1.5,75,11,0
3.5,0.5,78,11,0
3,1,84,7,0
3.5,0.5,84,11,0
3,0,81,12,0
3,0,81,11,0
2.5,-1,84,12,0
2.5,-1,87,11,0
3,0,87,12,0
4,1,81,12,0
5.5,3,76,10,0
7,6,71,6.5,1
7,6.5,71,5,1
7,7,71,3,1
7,6,71,6,1
6,6,78.5,3,1
5,5,84,3,0
4.5,4.5,90,1,0
4,4,90,3,0
3.5,3.5,90,2,0
3,3,93,2,0
2.5,0.5,93,6.5,0
2,0,93,6,0
5,2,87,13,0
5,2,87,12,0
4.5,1.5,90,14,0
3.5,0.5,90,13,0
3,0.5,93,8,0
3,2.5,93,5,0
3,0,87,10,0
3,0,87,9,0
3,0,87,9,0
3,-0.5,87,12,0
4,0,81,17,0
4.5,1.5,78.5,16,1
5,2,78.5,14,1
5.5,3,73.5,11,1
6,4,71,11,1
5,3,76,9,1
5,2.5,76,11,1
4,1.5,81,10,0
3,0,84,9,0
3,0,81,11,0
3,0,75,13,0
2.5,-0.5,78,11,0
2,-1,81,10,0
1,-2,93,10,0
