@relation C:/Users/C2/Github/MSBA/datasets/RealDCweekdayholiday

@attribute 0 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}
@data
1,0.2,0.2121,0.69,0.1343,0
1,0.22,0.2727,0.55,0.0,0
1,0.2,0.2576,0.69,0.0,0
1,0.2,0.2121,0.69,0.1343,0
1,0.2,0.197,0.51,0.2537,1
1,0.2,0.1818,0.47,0.2985,0
1,0.22,0.197,0.37,0.3284,0
1,0.2,0.197,0.4,0.2239,0
1,0.2,0.197,0.37,0.2537,0
1,0.2,0.1818,0.37,0.2836,0
1,0.2,0.197,0.4,0.2537,0
1,0.2,0.2121,0.37,0.1642,0
1,0.2,0.2121,0.37,0.1642,0
1,0.2,0.2576,0.37,0.0,1
1,0.2,0.2273,0.4,0.0896,0
1,0.16,0.197,0.55,0.0896,0
1,0.18,0.2121,0.47,0.1045,0
1,0.18,0.197,0.47,0.1343,0
1,0.18,0.197,0.43,0.1642,0
1,0.18,0.197,0.51,0.1642,0
1,0.12,0.1212,0.5,0.2836,0
1,0.12,0.1212,0.5,0.2836,0
1,0.12,0.1212,0.5,0.2239,0
1,0.12,0.1212,0.5,0.2239,0
1,0.1,0.1212,0.54,0.1343,0
1,0.1,0.1061,0.54,0.2537,0
1,0.12,0.1212,0.5,0.2836,0
1,0.12,0.1212,0.5,0.2239,0
1,0.12,0.1212,0.5,0.2836,1
1,0.14,0.1212,0.5,0.2537,0
1,0.14,0.1212,0.5,0.2985,0
1,0.16,0.1364,0.47,0.2836,0
1,0.2,0.1818,0.4,0.2836,0
1,0.2,0.1818,0.4,0.2836,0
1,0.2,0.197,0.4,0.2239,0
1,0.2,0.197,0.4,0.2239,0
1,0.2,0.2121,0.4,0.1343,0
1,0.2,0.2273,0.4,0.1045,1
1,0.2,0.197,0.4,0.2239,1
1,0.16,0.1667,0.47,0.1642,0
1,0.16,0.1667,0.5,0.1642,0
1,0.14,0.1364,0.59,0.194,0
1,0.14,0.1515,0.59,0.1642,0
1,0.14,0.1515,0.59,0.1642,0
1,0.14,0.1667,0.59,0.1045,0
1,0.14,0.1515,0.59,0.1642,0
1,0.16,0.1515,0.55,0.194,0
1,0.16,0.1818,0.55,0.1343,0
1,0.16,0.1818,0.55,0.1343,0
1,0.16,0.2273,0.55,0.0,0
1,0.18,0.2121,0.51,0.0896,1
1,0.18,0.197,0.51,0.1642,0
1,0.2,0.2121,0.51,0.1642,0
1,0.2,0.2121,0.47,0.1343,0
1,0.2,0.2273,0.51,0.1045,0
1,0.2,0.2273,0.59,0.0896,0
1,0.2,0.2273,0.59,0.0896,0
1,0.16,0.197,0.8,0.0896,0
1,0.16,0.1515,0.86,0.2239,0
1,0.16,0.1515,0.86,0.2239,0
1,0.16,0.1818,0.93,0.1045,0
1,0.16,0.2273,0.93,0.0,0
1,0.16,0.1515,0.93,0.194,0
1,0.16,0.197,0.86,0.0896,0
1,0.16,0.1818,0.93,0.1045,0
1,0.16,0.197,0.93,0.0896,0
1,0.16,0.197,0.86,0.0896,0
1,0.16,0.1818,0.86,0.1045,0
1,0.14,0.1515,0.86,0.1343,0
1,0.14,0.1515,0.86,0.1642,0
1,0.12,0.1515,0.93,0.1343,0
1,0.14,0.1515,0.69,0.1343,0
1,0.16,0.1667,0.59,0.1642,0
1,0.16,0.1364,0.59,0.3284,0
1,0.18,0.1818,0.55,0.2239,0
1,0.2,0.1818,0.51,0.3881,0
1,0.2,0.1515,0.47,0.5821,0
1,0.22,0.197,0.44,0.3582,0
1,0.2,0.1818,0.47,0.3284,0
1,0.2,0.1667,0.47,0.4179,0
1,0.22,0.197,0.44,0.3284,0
1,0.2,0.1818,0.47,0.3582,0
1,0.2,0.1515,0.47,0.5224,0
1,0.18,0.1515,0.47,0.4179,0
1,0.16,0.1364,0.5,0.3284,0
1,0.16,0.1364,0.55,0.3284,0
1,0.16,0.1212,0.55,0.4478,0
1,0.14,0.1061,0.59,0.4179,0
1,0.14,0.1212,0.59,0.2836,0
1,0.14,0.1212,0.5,0.2836,0
1,0.14,0.1212,0.5,0.3582,0
1,0.14,0.1212,0.5,0.3284,0
1,0.14,0.1212,0.5,0.2537,0
1,0.14,0.1212,0.5,0.2985,0
1,0.12,0.1515,0.54,0.1343,0
1,0.12,0.1515,0.54,0.1343,0
1,0.14,0.1364,0.5,0.194,1
1,0.14,0.1212,0.5,0.3284,0
1,0.16,0.1364,0.5,0.3582,0
1,0.2,0.1667,0.44,0.4478,0
1,0.2,0.1667,0.44,0.4179,0
1,0.22,0.197,0.41,0.4478,0
1,0.22,0.197,0.41,0.3881,0
1,0.24,0.2121,0.38,0.2985,0
1,0.24,0.2121,0.38,0.3582,0
1,0.2,0.1818,0.4,0.2836,1
1,0.2,0.1818,0.4,0.3284,1
1,0.16,0.1515,0.47,0.2537,0
1,0.16,0.1515,0.47,0.2239,0
1,0.14,0.1212,0.46,0.2985,0
1,0.14,0.1212,0.46,0.3284,0
1,0.12,0.1364,0.5,0.194,0
1,0.12,0.1364,0.5,0.194,0
1,0.1,0.1212,0.54,0.1642,0
1,0.1,0.1212,0.54,0.1343,0
1,0.1,0.1364,0.54,0.1045,0
1,0.1,0.1364,0.54,0.0896,0
1,0.1,0.1818,0.54,0.0,0
1,0.1,0.1212,0.74,0.1642,0
1,0.12,0.1667,0.68,0.0,1
1,0.14,0.1515,0.69,0.1343,0
1,0.18,0.1818,0.55,0.194,0
1,0.18,0.1667,0.51,0.2836,0
1,0.2,0.197,0.44,0.2537,0
1,0.22,0.197,0.37,0.3881,0
1,0.22,0.2121,0.41,0.2836,0
1,0.24,0.2424,0.38,0.1642,0
1,0.22,0.2424,0.41,0.1045,0
1,0.22,0.2273,0.41,0.1642,1
1,0.2,0.2576,0.47,0.0,0
1,0.16,0.197,0.59,0.0896,0
1,0.18,0.2424,0.59,0.0,0
1,0.16,0.2273,0.69,0.0,0
1,0.16,0.2273,0.69,0.0,0
1,0.18,0.2424,0.55,0.0,0
1,0.2,0.1818,0.86,0.3284,0
1,0.2,0.197,0.86,0.2239,0
1,0.22,0.2273,0.8,0.1642,0
1,0.22,0.2273,0.87,0.1642,0
1,0.22,0.2273,0.87,0.194,0
1,0.22,0.2273,0.82,0.194,0
1,0.22,0.2273,0.8,0.1642,0
1,0.22,0.2273,0.8,0.1343,0
1,0.22,0.2727,0.87,0.0,0
1,0.22,0.2424,0.93,0.1045,0
1,0.22,0.2576,0.93,0.0896,0
1,0.22,0.2727,0.93,0.0,0
1,0.22,0.2727,0.93,0.0,0
1,0.22,0.2273,0.93,0.1343,0
1,0.22,0.2273,0.93,0.1343,0
1,0.22,0.2273,0.93,0.1343,0
1,0.22,0.2576,0.93,0.0896,0
1,0.22,0.2576,0.93,0.0896,0
1,0.24,0.2576,0.92,0.1045,0
1,0.24,0.2576,0.93,0.1045,1
1,0.24,0.2576,0.93,0.1045,0
1,0.26,0.2727,0.93,0.1343,0
1,0.28,0.303,0.87,0.0896,0
1,0.3,0.3182,0.81,0.0896,0
1,0.4,0.4091,0.62,0.2836,0
1,0.4,0.4091,0.58,0.2537,0
1,0.4,0.4091,0.54,0.2836,0
1,0.38,0.3939,0.58,0.3881,0
1,0.36,0.3333,0.57,0.3284,1
1,0.34,0.3182,0.61,0.2836,1
1,0.32,0.2879,0.57,0.4179,0
1,0.32,0.303,0.49,0.2985,0
1,0.32,0.2879,0.49,0.4179,0
1,0.3,0.303,0.52,0.1642,0
1,0.3,0.2727,0.52,0.4627,0
1,0.26,0.2273,0.56,0.3881,0
1,0.26,0.2727,0.56,0.0,0
1,0.26,0.2727,0.56,0.0,0
1,0.26,0.2576,0.56,0.1642,0
1,0.26,0.2576,0.56,0.1642,0
1,0.24,0.2273,0.6,0.2239,0
1,0.22,0.2121,0.6,0.2239,0
1,0.22,0.2121,0.55,0.2239,0
1,0.22,0.2121,0.55,0.2836,1
1,0.24,0.2273,0.52,0.2239,1
1,0.26,0.2273,0.48,0.2985,0
1,0.28,0.2727,0.45,0.1642,0
1,0.3,0.3333,0.42,0.0,0
1,0.28,0.2879,0.45,0.1045,0
1,0.3,0.303,0.45,0.1343,0
1,0.32,0.3182,0.45,0.194,0
1,0.3,0.303,0.49,0.1343,0
1,0.3,0.3182,0.49,0.1045,1
1,0.26,0.2576,0.56,0.194,1
1,0.26,0.2273,0.56,0.3284,1
1,0.26,0.2424,0.6,0.2836,0
1,0.24,0.2273,0.6,0.2537,0
1,0.24,0.2121,0.65,0.2836,0
1,0.24,0.2121,0.65,0.3284,0
1,0.24,0.2273,0.7,0.2537,0
1,0.24,0.2273,0.7,0.2537,0
1,0.24,0.2424,0.75,0.1642,0
1,0.22,0.2121,0.8,0.2985,0
1,0.22,0.2576,0.87,0.0896,0
1,0.24,0.197,0.6,0.4179,0
1,0.22,0.2121,0.55,0.2537,0
1,0.2,0.1818,0.51,0.2836,0
1,0.2,0.1818,0.47,0.3284,1
1,0.2,0.1818,0.51,0.3582,1
1,0.2,0.1667,0.47,0.4627,0
1,0.22,0.1818,0.41,0.4627,0
1,0.22,0.1818,0.27,0.5821,0
1,0.2,0.1515,0.21,0.5821,0
1,0.2,0.1515,0.25,0.5224,0
1,0.16,0.1212,0.26,0.4478,0
1,0.16,0.1364,0.26,0.3582,0
1,0.14,0.1212,0.28,0.3582,1
1,0.12,0.1212,0.3,0.2537,0
1,0.12,0.1061,0.3,0.3284,0
1,0.1,0.0758,0.33,0.4179,0
1,0.08,0.0758,0.38,0.2836,0
1,0.06,0.0303,0.41,0.3881,0
1,0.06,0.0455,0.38,0.3284,0
1,0.06,0.0606,0.41,0.194,0
1,0.04,0.0455,0.45,0.194,0
1,0.04,0.0303,0.45,0.2537,0
1,0.02,0.0606,0.48,0.1343,0
1,0.02,0.0606,0.48,0.1343,0
1,0.02,0.0758,0.48,0.0896,0
1,0.02,0.1212,0.48,0.0,0
1,0.04,0.1364,0.49,0.0,1
1,0.06,0.1515,0.41,0.0,0
1,0.1,0.1364,0.42,0.0,0
1,0.1,0.1212,0.46,0.1343,0
1,0.12,0.1364,0.42,0.194,0
1,0.14,0.1364,0.43,0.2239,0
1,0.14,0.1364,0.46,0.2239,0
1,0.16,0.1667,0.4,0.1642,0
1,0.16,0.1515,0.47,0.2537,0
1,0.14,0.1212,0.5,0.2537,1
1,0.14,0.1364,0.59,0.194,1
1,0.14,0.1515,0.54,0.1642,0
1,0.14,0.1364,0.59,0.194,0
1,0.14,0.1515,0.63,0.1642,0
1,0.14,0.1364,0.63,0.2239,0
1,0.16,0.1515,0.64,0.2537,0
1,0.16,0.1364,0.69,0.2836,0
1,0.16,0.1667,0.69,0.1642,0
1,0.16,0.1515,0.69,0.2239,0
1,0.14,0.1667,0.74,0.1045,0
1,0.14,0.1364,0.74,0.2239,0
1,0.16,0.1818,0.74,0.1045,0
1,0.16,0.1515,0.74,0.2239,0
1,0.16,0.1818,0.74,0.1343,1
1,0.2,0.2273,0.64,0.0896,1
1,0.22,0.2424,0.6,0.1045,0
1,0.24,0.2424,0.6,0.1343,0
1,0.26,0.2879,0.56,0.0896,0
1,0.26,0.2727,0.56,0.1343,0
1,0.3,0.3333,0.45,0.0,0
1,0.32,0.3485,0.42,0.0,0
1,0.32,0.3485,0.42,0.0,0
1,0.3,0.3333,0.45,0.0,1
1,0.3,0.3182,0.49,0.0896,1
1,0.26,0.2576,0.65,0.1642,1
1,0.24,0.2273,0.65,0.194,0
1,0.24,0.2273,0.65,0.194,0
1,0.22,0.2273,0.64,0.1642,0
1,0.22,0.2273,0.64,0.1642,0
1,0.22,0.2273,0.69,0.1343,0
1,0.24,0.2424,0.65,0.1343,0
1,0.22,0.2273,0.69,0.194,0
1,0.2,0.1818,0.86,0.2836,0
1,0.2,0.1818,0.86,0.2836,0
1,0.22,0.2121,0.87,0.2985,0
1,0.22,0.2121,0.87,0.2985,0
1,0.22,0.2121,0.87,0.2985,0
1,0.22,0.2121,0.93,0.2836,0
1,0.22,0.197,0.93,0.3284,0
1,0.22,0.197,0.93,0.3284,0
1,0.22,0.197,0.93,0.3284,0
1,0.22,0.197,0.93,0.3582,0
1,0.22,0.1818,0.93,0.4627,0
1,0.22,0.197,0.93,0.3284,0
1,0.2,0.1818,0.93,0.3582,0
1,0.22,0.2273,0.55,0.194,0
1,0.22,0.2424,0.55,0.1045,0
1,0.2,0.2273,0.69,0.0896,0
1,0.2,0.2273,0.69,0.0896,0
1,0.18,0.2121,0.74,0.0896,0
1,0.18,0.2121,0.74,0.0896,0
1,0.18,0.2121,0.74,0.0896,0
1,0.18,0.197,0.8,0.1642,0
1,0.2,0.2121,0.75,0.1343,0
1,0.2,0.2121,0.75,0.1343,0
1,0.2,0.2121,0.75,0.1642,0
1,0.2,0.2273,0.75,0.1045,0
1,0.18,0.2121,0.8,0.1045,0
1,0.18,0.197,0.8,0.1343,0
1,0.16,0.197,0.86,0.0896,0
1,0.16,0.197,0.86,0.0896,1
1,0.18,0.2121,0.86,0.0896,0
1,0.18,0.2121,0.86,0.1045,0
1,0.18,0.2121,0.93,0.1045,0
1,0.18,0.2121,0.93,0.1045,0
1,0.18,0.2121,0.93,0.1045,0
1,0.22,0.2727,0.8,0.0,0
1,0.2,0.2576,0.86,0.0,0
1,0.22,0.2727,0.8,0.0,0
1,0.24,0.2424,0.75,0.1343,1
1,0.24,0.2273,0.75,0.194,0
1,0.24,0.2424,0.75,0.1343,0
1,0.24,0.2273,0.7,0.194,0
1,0.22,0.2273,0.75,0.1343,0
1,0.24,0.2121,0.65,0.3582,0
1,0.24,0.2273,0.6,0.2239,0
1,0.24,0.2273,0.65,0.2239,0
1,0.22,0.2121,0.64,0.2537,0
1,0.22,0.2273,0.64,0.194,0
1,0.22,0.2273,0.64,0.194,0
1,0.2,0.197,0.59,0.2239,0
1,0.18,0.1667,0.64,0.2836,0
1,0.16,0.1364,0.69,0.3284,0
1,0.16,0.1364,0.64,0.2836,0
1,0.16,0.1364,0.59,0.2836,1
1,0.16,0.1364,0.59,0.2985,0
1,0.16,0.1515,0.59,0.194,0
1,0.16,0.1515,0.59,0.194,0
1,0.18,0.2121,0.55,0.1045,0
1,0.16,0.2273,0.59,0.0,0
1,0.18,0.197,0.55,0.1343,0
1,0.16,0.1818,0.59,0.1343,0
1,0.16,0.1818,0.56,0.194,0
1,0.16,0.1515,0.59,0.194,1
1,0.16,0.1515,0.55,0.2239,1
1,0.3,0.3182,0.61,0.1045,0
1,0.16,0.1667,0.59,0.1642,0
1,0.16,0.197,0.59,0.0896,0
1,0.16,0.1818,0.59,0.1045,0
1,0.16,0.197,0.64,0.0896,0
1,0.16,0.1818,0.64,0.1045,0
1,0.16,0.1818,0.69,0.1045,0
1,0.16,0.2273,0.69,0.0,0
1,0.16,0.2273,0.69,0.0,0
1,0.14,0.2121,0.93,0.0,0
1,0.14,0.2121,0.93,0.0,0
1,0.16,0.2273,0.93,0.0,0
1,0.16,0.2273,0.93,0.0,0
1,0.16,0.2273,0.93,0.0,0
1,0.16,0.2273,0.93,0.0,0
1,0.18,0.2424,0.86,0.0,0
1,0.2,0.2576,0.86,0.0,0
1,0.2,0.2576,0.86,0.0,0
1,0.22,0.2576,0.8,0.0896,0
1,0.24,0.2879,0.75,0.0,0
1,0.24,0.2424,0.75,0.1343,0
1,0.24,0.2879,0.75,0.0,1
1,0.24,0.2576,0.81,0.1045,1
1,0.24,0.2424,0.81,0.1343,0
1,0.22,0.2273,0.87,0.1343,0
1,0.22,0.2273,0.87,0.1343,0
1,0.22,0.2576,0.87,0.0896,0
1,0.2,0.197,0.93,0.194,0
1,0.22,0.2424,0.93,0.1045,0
1,0.22,0.2273,0.93,0.194,0
1,0.22,0.2273,0.93,0.1343,0
1,0.22,0.2273,0.93,0.1343,0
1,0.22,0.2121,0.93,0.2836,0
1,0.22,0.2424,0.93,0.1045,0
1,0.22,0.2424,0.93,0.1045,0
1,0.22,0.2121,0.93,0.2239,0
1,0.22,0.2121,0.93,0.2239,1
1,0.24,0.2576,0.93,0.0896,0
1,0.22,0.2727,1.0,0.0,0
1,0.24,0.2273,0.93,0.194,0
1,0.24,0.2273,0.93,0.2239,0
1,0.34,0.3333,0.93,0.1642,0
1,0.38,0.3939,0.82,0.3881,0
1,0.38,0.3939,0.76,0.3284,0
1,0.36,0.3333,0.71,0.2985,0
1,0.36,0.3182,0.53,0.5224,1
1,0.34,0.2879,0.42,0.5522,1
1,0.28,0.2424,0.45,0.4925,0
1,0.24,0.197,0.48,0.5522,0
1,0.22,0.197,0.47,0.3284,0
1,0.22,0.2121,0.44,0.2537,0
1,0.2,0.1667,0.44,0.4478,0
1,0.2,0.1667,0.4,0.4478,0
1,0.2,0.1515,0.44,0.5224,0
1,0.18,0.1667,0.43,0.2537,0
1,0.18,0.1667,0.43,0.2537,0
1,0.16,0.1364,0.5,0.2985,0
1,0.16,0.1364,0.43,0.3582,0
1,0.14,0.1212,0.5,0.3284,0
1,0.14,0.1212,0.5,0.3582,1
1,0.16,0.1364,0.47,0.2985,0
1,0.18,0.1515,0.43,0.3284,0
1,0.18,0.1364,0.43,0.4478,0
1,0.2,0.1818,0.4,0.3582,0
1,0.2,0.1667,0.4,0.4179,0
1,0.22,0.197,0.37,0.3881,0
1,0.22,0.197,0.37,0.3284,0
1,0.22,0.2121,0.37,0.2537,0
1,0.2,0.197,0.4,0.194,1
1,0.2,0.2121,0.4,0.1642,1
1,0.2,0.2576,0.4,0.0,0
1,0.2,0.2273,0.47,0.0896,0
1,0.18,0.2121,0.55,0.1045,0
1,0.18,0.2121,0.51,0.0896,0
1,0.2,0.2273,0.47,0.1045,0
1,0.2,0.2576,0.44,0.0,0
1,0.16,0.2273,0.59,0.0,0
1,0.14,0.1667,0.63,0.1045,0
1,0.14,0.1667,0.63,0.1045,0
1,0.14,0.1515,0.63,0.1343,0
1,0.16,0.2273,0.55,0.0,0
1,0.14,0.2121,0.59,0.0,0
1,0.14,0.1515,0.74,0.1343,1
1,0.16,0.1818,0.8,0.1343,0
1,0.2,0.2121,0.51,0.1343,0
1,0.22,0.2273,0.51,0.1642,0
1,0.24,0.2424,0.48,0.1642,0
1,0.26,0.2576,0.5,0.2239,0
1,0.28,0.2727,0.45,0.1642,0
1,0.28,0.2727,0.48,0.2537,0
1,0.3,0.2879,0.42,0.2239,0
1,0.26,0.2727,0.56,0.1343,1
1,0.24,0.2576,0.6,0.1045,1
1,0.24,0.2424,0.65,0.1343,0
1,0.24,0.2424,0.65,0.1642,0
1,0.24,0.2424,0.7,0.1642,0
1,0.24,0.2424,0.65,0.1642,0
1,0.24,0.2424,0.7,0.1343,0
1,0.24,0.2879,0.65,0.0,0
1,0.22,0.2727,0.75,0.0,0
1,0.2,0.2576,0.8,0.0,0
1,0.2,0.2576,0.86,0.0,0
1,0.2,0.2576,0.86,0.0,0
1,0.2,0.2576,0.86,0.0,0
1,0.18,0.2424,0.93,0.0,0
1,0.18,0.2424,0.86,0.0,0
1,0.16,0.2273,1.0,0.0,1
1,0.22,0.2727,0.8,0.0,0
1,0.24,0.2576,0.75,0.1045,0
1,0.3,0.3182,0.65,0.0896,0
1,0.32,0.3485,0.62,0.0,0
1,0.36,0.3636,0.57,0.0896,0
1,0.36,0.3636,0.57,0.0896,0
1,0.38,0.3939,0.54,0.0896,0
1,0.36,0.3485,0.57,0.1343,0
1,0.32,0.3182,0.7,0.1642,1
1,0.34,0.3333,0.66,0.1343,1
1,0.32,0.3485,0.7,0.0,0
1,0.32,0.3333,0.7,0.1045,0
1,0.32,0.3485,0.7,0.0,0
1,0.28,0.303,0.81,0.0896,0
1,0.3,0.3333,0.81,0.0,0
1,0.28,0.3182,0.87,0.0,0
1,0.28,0.3182,0.87,0.0,0
1,0.26,0.2727,0.93,0.1045,0
1,0.28,0.2727,0.93,0.1642,0
1,0.26,0.2576,0.93,0.1642,0
1,0.26,0.2273,0.81,0.3284,0
1,0.26,0.2273,0.7,0.3284,0
1,0.24,0.197,0.65,0.4179,0
1,0.24,0.197,0.56,0.4925,1
1,0.24,0.197,0.52,0.4925,0
1,0.22,0.1818,0.47,0.5522,0
1,0.22,0.1818,0.47,0.4627,0
1,0.24,0.197,0.38,0.4925,0
1,0.24,0.197,0.32,0.4478,0
1,0.22,0.197,0.37,0.4179,0
1,0.22,0.197,0.35,0.3881,0
1,0.22,0.1818,0.35,0.5224,0
1,0.22,0.1818,0.32,0.5821,1
1,0.2,0.1818,0.32,0.3881,1
1,0.16,0.1212,0.4,0.4627,0
1,0.16,0.1364,0.4,0.3284,0
1,0.14,0.1061,0.33,0.4627,0
1,0.12,0.1061,0.33,0.3582,0
1,0.12,0.1061,0.33,0.3284,0
1,0.1,0.0758,0.36,0.3582,0
1,0.1,0.1061,0.36,0.2239,0
1,0.08,0.0758,0.38,0.2836,0
1,0.06,0.0758,0.45,0.1343,0
1,0.06,0.1061,0.45,0.1045,0
1,0.06,0.1515,0.45,0.0,0
1,0.06,0.1061,0.49,0.1045,0
1,0.1,0.1364,0.42,0.0,1
1,0.12,0.1364,0.39,0.1642,0
1,0.14,0.1818,0.36,0.0,0
1,0.14,0.1515,0.43,0.1642,0
1,0.18,0.1818,0.4,0.2239,0
1,0.18,0.1667,0.4,0.2537,0
1,0.2,0.1818,0.34,0.2985,0
1,0.2,0.1818,0.34,0.2836,0
1,0.2,0.197,0.37,0.2537,0
1,0.2,0.197,0.34,0.2537,1
1,0.18,0.1667,0.47,0.2985,1
1,0.14,0.1212,0.86,0.2537,0
1,0.14,0.1515,0.86,0.1642,0
1,0.14,0.1515,0.86,0.1642,0
1,0.16,0.1667,0.8,0.1642,0
1,0.16,0.1515,0.8,0.194,0
1,0.14,0.1364,0.86,0.194,0
1,0.14,0.1515,0.8,0.1343,0
1,0.14,0.1515,0.8,0.1343,0
1,0.14,0.1364,0.59,0.2239,0
1,0.12,0.1212,0.5,0.2239,0
1,0.12,0.1212,0.54,0.2836,0
1,0.1,0.0758,0.5,0.4179,0
1,0.1,0.0758,0.49,0.3284,1
1,0.12,0.1061,0.42,0.3582,0
1,0.12,0.1061,0.42,0.2985,0
1,0.14,0.1212,0.39,0.3582,0
1,0.16,0.1364,0.34,0.3881,0
1,0.18,0.1667,0.29,0.2985,0
1,0.2,0.1818,0.27,0.2836,0
1,0.2,0.197,0.25,0.2537,0
1,0.2,0.1818,0.27,0.2985,0
1,0.18,0.1818,0.26,0.194,1
1,0.16,0.1818,0.28,0.1343,1
1,0.14,0.1667,0.28,0.1045,0
1,0.14,0.1818,0.31,0.0896,0
1,0.14,0.2121,0.39,0.0,0
1,0.12,0.197,0.39,0.0,0
1,0.12,0.1515,0.42,0.1045,0
1,0.1,0.1364,0.49,0.1045,0
1,0.1,0.1364,0.54,0.0896,0
1,0.1,0.1364,0.54,0.0896,0
1,0.08,0.1212,0.63,0.0896,0
1,0.1,0.1818,0.68,0.0,0
1,0.08,0.1667,0.73,0.0,0
1,0.1,0.1212,0.74,0.1642,1
1,0.12,0.1212,0.74,0.2239,0
1,0.14,0.1364,0.69,0.194,0
1,0.22,0.2273,0.47,0.1343,0
1,0.22,0.2273,0.47,0.1343,0
1,0.24,0.2273,0.35,0.194,0
1,0.3,0.2879,0.26,0.2537,0
1,0.32,0.3182,0.21,0.1642,0
1,0.3,0.2879,0.28,0.194,0
1,0.3,0.3333,0.24,0.0,1
1,0.28,0.3182,0.28,0.0,1
1,0.26,0.303,0.33,0.0,0
1,0.22,0.2273,0.55,0.1343,0
1,0.2,0.2121,0.59,0.1343,0
